Facility_ID,Facility_Name,address,google_type,google_latitude,google_longitude
4563,Erin Mills Soccer Club,"3-3135 UNITY DR, MISSISSAUGA, ON",ROOFTOP,43.5370696,-79.7106269
4640,Jellybeenz,"11-10 BRAMHURST AVE, BRAMPTON, ON",ROOFTOP,43.7208214,-79.68691249999999
4673,More Fun With Bounce,"8-170 BOVAIRD DR W, BRAMPTON, ON",RANGE_INTERPOLATED,43.70571899999999,-79.7871183
4696,Kidnetix Edu-Play Centre,"15-35 VAN KIRK DR, BRAMPTON, ON",ROOFTOP,43.7003354,-79.7968405
4733,Rouge River Community Centre,"2-120 ROUGE BANK DRIVE, MARKHAM, ON",ROOFTOP,43.8609018,-79.2406213
4752,K.C.Badminton Club,"3-2680 14TH AVE, MARKHAM, ON",ROOFTOP,43.83011250000001,-79.3620227
4772,Everyday Badminton and Table Tennis Club,"1-480 HOOD RD, MARKHAM, ON",ROOFTOP,43.8314731,-79.32989669999999
4853,WonderKids Gymnastics Centre,"9-34 DONCASTER AVE, VAUGHAN, ON",ROOFTOP,43.8034895,-79.41797009999999
4870,Air Riderz Adventure Park Vaughan,"3-570 APPLEWOOD CRESCENT, VAUGHAN, ON",ROOFTOP,43.8088395,-79.53146699999999
4883,Yes!School,"8-9000 KEELE ST, VAUGHAN, ON",ROOFTOP,43.7866851,-79.49702959999999
4933,KC Badminton Club Richmond Hill Campus,"3-30 VOGELL RD, RICHMOND HILL, ON",RANGE_INTERPOLATED,43.8639312,-79.3819096
4938,Explore Center Indoor Playground,"1-385 ENFORD RD, RICHMOND HILL, ON",ROOFTOP,43.8893693,-79.43750589999999
4990,Kidsopolis,"15-407 SPEERS RD, OAKVILLE, ON",ROOFTOP,43.44407469999999,-79.69094640000002
5006,Endless Fun,"14-400 MONARCH AVE, AJAX, ON",ROOFTOP,43.8402778,-79.0244444
5056,Eazy-Peazy,"1-8750 REGIONAL RD 25, MILTON, ON",GEOMETRIC_CENTER,43.5392559,-79.9210011
5060,Ontario Curling Association,"10-1400 BAYLY ST, PICKERING, ON",RANGE_INTERPOLATED,43.8223855,-79.1032508
5061,The Fun Factory Indoor Playground And Party Centre,"15-1420 BAYLY ST, PICKERING, ON",ROOFTOP,43.8222966,-79.1028486
5064,Enchanted Castle Inc.,"16-1755 PLUMMER ST, PICKERING, ON",ROOFTOP,43.8348053,-79.07094909999999
5071,123 Party & Bounce Inc.,"266-1885 CLEMENTS RD, PICKERING, ON",ROOFTOP,43.8246757,-79.0548666
5099,The Funnery,"3-611 STEVEN CT, NEWMARKET, ON",ROOFTOP,44.038455,-79.453352
5168,KC Badminton Aurora-Newmarket Campus,"2-159 DON HILLOCK DR, AURORA, ON",RANGE_INTERPOLATED,44.0088436,-79.4174893
5181,Laugh Out Loud Kids Indoor Playground,"5-50 INNOVATOR AVE, WHITCHURCH-STOUFFVILLE, ON",ROOFTOP,43.9625291,-79.2664966
5234,LotsOfun,"1-10 CENTENNIAL RD, ORANGEVILLE, ON",RANGE_INTERPOLATED,43.9041343,-80.1149788
5248,Jungle Oasis Playground,"2-695 RIDDELL RD, ORANGEVILLE, ON",GEOMETRIC_CENTER,43.89614659999999,-80.1107309
5562,Loisirs de l'Acadie de Montreal,"100-1405 BOUL HENRI-BOURASSA O, MONTREAL, QC",RANGE_INTERPOLATED,45.5487771,-73.6717522
5599,Montreal LGBTQ+ Community Centre,"110-2075 RUE PLESSIS, MONTREAL, QC",ROOFTOP,45.524344,-73.5617564
5782,Projet Changement,"130-4450 ST HUBERT ST, MONTREAL, QC",ROOFTOP,45.5631408,-73.6823509
5788,Centre des femmes solidaires et engagées,"100-1586 RUE FLEURY E, MONTREAL, QC",ROOFTOP,45.5636262,-73.6557531
5938,Centre Communautaire des Aines et Ainees de Longueuil,"122-300 RUE LAMARRE, LONGUEUIL, QC",ROOFTOP,45.534109,-73.48517509999999
6021,Complexe Sportif Bell,"104-8000 BOULEVARD LEDUC, BROSSARD, QC",ROOFTOP,45.453321,-73.44605299999999
6101,Centre NAGO,"302-11695 MONTEE SAINTE MARIANNE, MIRABEL, QC",ROOFTOP,45.6758851,-73.934195
6232,West Island Community Shares,"200-610 BOUL SAINT-JEAN, POINTE-CLAIRE, QC",RANGE_INTERPOLATED,45.4383667,-73.8137825
7057,Soccer Club Mistral De Sherbrooke,"258-350 RUE TERRILL, SHERBROOKE, QC",RANGE_INTERPOLATED,45.4117326,-71.88735249999999
7250,Musquodoboit Valley Recreation Office,"12046 HWY 224, MIDDLE MUSQUODOBOIT, NS",RANGE_INTERPOLATED,45.1268885,-62.9655988
7252,Sheet Harbour Recreation Office ,"22756 HIGHWAY 7, SHEET HARBOUR, NS",ROOFTOP,44.9175722,-62.52710099999999
7274,Lake Echo Community Centre,"3168A HWY 7, LAKE ECHO , NS",GEOMETRIC_CENTER,44.7385394,-63.38670370000001
5073,Pickering Museum Village,"2365 CONCESSION RD 6, GREENWOOD, ON",ROOFTOP,43.9268152,-79.0746424
824,McTavish Academy of Art,"1720 MCTAVISH RD, NORTH SAANICH, BC",ROOFTOP,48.6305387,-123.4281059
1872,Balgonie Stardome,"HW 364 & S RAILWAY ST, BALGONIE, SK",,0.0,0.0
2269,St. Adolphe Curling Club,"327 ST. ADOLPHE RD, ST. ADOLPHE, MB",RANGE_INTERPOLATED,49.6712825,-97.1060857
3307,Harmony Creek Golf Centre,"1000 BLOOR ST E, OSHAWA, ON",ROOFTOP,43.8909299,-78.82458539999999
5235,Orangeville & District Seniors Centre,"26 BYTHIA ST, ORANGEVILLE, ON",ROOFTOP,43.9169114,-80.1007832
6691,Aréna Frank-Robinson,"96 RUE DU PATRIMOINE, GATINEAU, QC",ROOFTOP,45.39345369999999,-75.8433541
7197,St.Andrews Community Centre,"7071 BAYERS RD, HALIFAX, NS",ROOFTOP,44.6558793,-63.6258569
7361,Carleton Community Centre,"120 MARKET PL, SAINT JOHN, NB",ROOFTOP,45.2609315,-66.0732247
