Facility_ID,Facility_Name,Facility_Type,Facility_Subtype,Indoor_Outdoor,Ownership_Type,Ownership_flag,address,google_type,google_latitude,google_longitude
989,Village Square Arena #1,Ice,2+ surfaces,Indoor,Public,,"2623 56 ST NE, CALGARY, AB",ROOFTOP,51.0759932,-113.9544536
990,Acadia Aquatic & Fitness Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"9009 FAIRMOUNT DR SE, CALGARY, AB",ROOFTOP,50.9730712,-114.059342
992,Bob Bahan Aquatic & Fitness Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"4812 14 AV SE, CALGARY, AB",ROOFTOP,51.0413276,-113.9639418
995,Melcor YMCA at Crowfoot,Aquatics,25m pool with or without other pools,Indoor,Public,,"8100 JOHN LAURIE BV NW, CALGARY, AB",ROOFTOP,51.1286008,-114.195376
999,George Blundun Arena,Ice,2+ surfaces,Indoor,Public,,"5020 26 AV SW, CALGARY, AB",ROOFTOP,51.0319613,-114.1598286
1000,East Calgary Twin Arenas,Ice,2+ surfaces,Indoor,Public,,"299 ERIN WOODS DR SE, CALGARY, AB",ROOFTOP,51.02602700000001,-113.964303
1001,Citadel Community Centre,Leisure / Community Centres,General,Both,Public,,"860 CITADEL DR NW, CALGARY, AB",ROOFTOP,51.144718,-114.173803
1002,Albert Park / Radisson Heights Community Centre,Ice,2+ surfaces,Both,Public,1.0,"2636 12 AV SE, CALGARY, AB",ROOFTOP,51.0420319,-113.9992581
1003,Copperfield & Mahogany Community Center,Leisure / Community Centres,General,Both,Public,,"6 COPPERSTONE WAY SE, CALGARY, AB",ROOFTOP,50.9148377,-113.9324561
1004,Tuscany Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"212 TUSCANY WAY NW, CALGARY, AB",ROOFTOP,51.12467700000001,-114.2455253
1006,Glamorgan Community Centre,Leisure / Community Centres,General,Both,Public,,"4207 41 AV SW, CALGARY, AB",ROOFTOP,51.0173697,-114.1452322
1007,Whitehorn Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"228 WHITEHORN RD NE, CALGARY, AB",ROOFTOP,51.088786,-113.9669543
1010,Pineridge Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"6024 RUNDLEHORN DR NE, CALGARY, AB",ROOFTOP,51.0715309,-113.9453247
1011,Kingsland Community Centre,Leisure / Community Centres,General,Both,Public,,"505 78 AV SW, CALGARY, AB",ROOFTOP,50.98294869999999,-114.0740488
1013,Woodcreek Community Centre,Leisure / Community Centres,General,Both,Public,,"1991 WOODVIEW DR SW, CALGARY, AB",ROOFTOP,50.9410421,-114.1048837
1014,McKenzie Lake Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"16198 MCKENZIE LAKE WY SE, CALGARY, AB",ROOFTOP,50.9062864,-113.9835459
1017,Lake Bonavista Downs Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"1418 LAKE ONTARIO RD SE, CALGARY, AB",ROOFTOP,50.9418056,-114.0320139
1018,Highland Park Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"3716 2 ST NW, CALGARY, AB",ROOFTOP,51.0853682,-114.066205
1020,"Palliser, Bayview, Pumphill Community Centre",Leisure / Community Centres,General,Both,Public,1.0,"2323 PALLISER DR SW, CALGARY, AB",ROOFTOP,50.9687756,-114.1140796
1021,Beltline Victoria and Connaught Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1302 6 ST SE, CALGARY, AB",ROOFTOP,51.039958,-114.0481499
1022,Brentwood Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"5107 33 ST NW, CALGARY, AB",ROOFTOP,51.0987088,-114.1361838
1023,Scarboro Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"1727 14 AV SW, CALGARY, AB",ROOFTOP,51.0404391,-114.1012162
1024,Strathcona/Christie Park Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"277 STRATHCONA DR SW, CALGARY, AB",ROOFTOP,51.0473108,-114.1799516
1025,Penbrooke Meadows Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"6100 8 AV SE, CALGARY, AB",ROOFTOP,51.04588889999999,-113.946345
1027,Hounsfield Heights/Briar Hill Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"1922 14 AV NW, CALGARY, AB",ROOFTOP,51.0662794,-114.1041327
1029,Haysboro Community Centre,Leisure / Community Centres,General,Both,Public,,"1204 89 AV SW, CALGARY, AB",ROOFTOP,50.9747634,-114.0878688
1030,Rosemont Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"2807 10 ST NW, CALGARY, AB",GEOMETRIC_CENTER,51.0762929,-114.0841759
1031,West Hillhurst Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"1940 6 AV NW, CALGARY, AB",ROOFTOP,51.0580467,-114.1046877
1035,Parkhill/Stanley Park Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"4013 STANLEY RD SW, CALGARY, AB",ROOFTOP,51.0184369,-114.0647512
1037,Killarney/Glengarry Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2828 28 ST SW, CALGARY, AB",ROOFTOP,51.0287462,-114.1276616
1038,Hillhurst/Sunnyside Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"1320 5 AV NW, CALGARY, AB",ROOFTOP,51.0575828,-114.0925606
1039,Rosedale Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"901 11 AV NW, CALGARY, AB",ROOFTOP,51.0621398,-114.0815098
1041,Montgomery Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"5003 - 16 AV NW, CALGARY, AB",ROOFTOP,51.0724469,-114.1652245
1044,Chaparral Residents Association,Leisure / Community Centres,General,Indoor,Public,,"225 CHAPARRAL DR SE, CALGARY, AB",ROOFTOP,50.886367,-114.0364283
1045,Elbow Park Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"800 34 AV SW, CALGARY, AB",ROOFTOP,51.0234189,-114.082077
1046,Falconridge/Castleridge Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"95 FALSHIRE DR NE, CALGARY, AB",ROOFTOP,51.1045518,-113.9460568
1047,Inglewood Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"1740 24 AV SE, CALGARY, AB",ROOFTOP,51.0322999,-114.0196156
1048,Richmond/Knob Hill Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2433 26 AV SW, CALGARY, AB",ROOFTOP,51.0299014,-114.1170163
1049,Highwood Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"16 HARLOW AV NW, CALGARY, AB",ROOFTOP,51.090799,-114.0773618
1050,Windsor Park Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"5304 6 ST SW, CALGARY, AB",ROOFTOP,51.00641890000001,-114.078599
1051,Rosscarrock Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"4411 10 AV SW, CALGARY, AB",RANGE_INTERPOLATED,51.0429686,-114.1507263
1053,Elboya Heights Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"416 PARK AV SW, CALGARY, AB",ROOFTOP,51.015275,-114.0735071
1054,Shaganappi Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2608 14 AV SW, CALGARY, AB",ROOFTOP,51.03971139999999,-114.1213725
1056,Renfrew Community Association,Leisure / Community Centres,General,Both,Public,1.0,"811 RADFORD RD NE, CALGARY, AB",ROOFTOP,51.06020609999999,-114.0447332
1057,Mid-Sun Community Centre,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,1.0,"50 MIDPARK RI SE, CALGARY, AB",ROOFTOP,50.9154898,-114.05653
1060,Meadowlark Park Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"623 58 AV SW, CALGARY, AB",ROOFTOP,51.00104650000001,-114.0778619
1061,Huntington Hills Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"520 78 AV NW, CALGARY, AB",ROOFTOP,51.1236818,-114.072314
1062,Winston Heights/Mountview Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"520 27 AV NE, CALGARY, AB",ROOFTOP,51.0773721,-114.052075
1064,Westgate Community Centre,Leisure / Community Centres,General,Both,Public,,"4943 8 AV SW, CALGARY, AB",ROOFTOP,51.0446095,-114.1579594
1067,Rutland Park Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"3130 , CALGARY, AB",GEOMETRIC_CENTER,51.0183747,-114.1353807
1068,Glenbrook Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"3524 45 ST SW, CALGARY, AB",ROOFTOP,51.023509,-114.152105
1069,Bankview Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2418 17 ST SW, CALGARY, AB",ROOFTOP,51.0325128,-114.1014882
1070,Ranchlands Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"7713 RANCHVIEW DR NW, CALGARY, AB",ROOFTOP,51.11964219999999,-114.1795228
1071,Dalhousie Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"5432 DALHART RD NW, CALGARY, AB",ROOFTOP,51.11286,-114.1596723
1072,Crossroads Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"1803 14 AV NE, CALGARY, AB",ROOFTOP,51.0651406,-114.0191715
1073,Braeside Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"11024 BRAESIDE DR SW, CALGARY, AB",ROOFTOP,50.9543822,-114.1020315
1075,Capitol Hill Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"1531 21 AV NW, CALGARY, AB",ROOFTOP,51.0712612,-114.0964874
1076,Lakeview Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"6110 34 ST SW, CALGARY, AB",ROOFTOP,50.99854,-114.136876
1077,Chinook Park/Kelvin Grove/Eagle Ridge Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"1015 73 AV SW, CALGARY, AB",ROOFTOP,50.9876049,-114.0849749
1080,Southview Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2020 33 ST SE, CALGARY, AB",ROOFTOP,51.033177,-113.9883589
1081,St. Andrews Heights Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2504 13 AV NW, CALGARY, AB",ROOFTOP,51.0640417,-114.1213957
1082,Wildwood Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"4411 SPRUCE DR SW, CALGARY, AB",ROOFTOP,51.0519207,-114.1508472
1083,Arbour Lake Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"12 ARBOUR LAKE DR NW, CALGARY, AB",ROOFTOP,51.1333,-114.2037652
1084,Glendale/Glendale Meadows Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2405 GLENMOUNT DR SW, CALGARY, AB",ROOFTOP,51.032532,-114.148343
1085,Silver Springs Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"5720 SILVER RIDGE DR NW, CALGARY, AB",GEOMETRIC_CENTER,51.1043139,-114.1919145
1086,Fairview Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"8038 FAIRMOUNT DR SE, CALGARY, AB",ROOFTOP,50.9824163,-114.0593341
1087,Oakridge Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"9504 OAKFIELD DR SW, CALGARY, AB",ROOFTOP,50.9684496,-114.1315152
1088,Parkland Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"505 PARKVALLEY RD SE, CALGARY, AB",ROOFTOP,50.918067,-114.0262478
1090,Dover Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"3033 30 AV S, CALGARY, AB",RANGE_INTERPOLATED,51.0268211,-113.9932377
1092,Monterey Park Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2707 CATALINA BV NE, CALGARY, AB",ROOFTOP,51.07631,-113.931064
1094,Saddle Ridge Community Centre,Leisure / Community Centres,General,Indoor,Public,1.0,"7614 42 ST NE, CALGARY, AB",RANGE_INTERPOLATED,51.0559795,-113.9705664
1095,Canyon Meadows Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"848 CANTABRIAN DR SW, CALGARY, AB",ROOFTOP,50.94641319999999,-114.077777
1096,Riverbend Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"19 RIVERVALLEY DR SE, CALGARY, AB",ROOFTOP,50.9724661,-114.0164665
1097,Calgary Marlborough Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"636 MARLBOROUGH WY NE, CALGARY, AB",ROOFTOP,51.0582601,-113.9742291
1099,Shawnessy Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"224 SHAWMEADOWS RD SW, CALGARY, AB",ROOFTOP,50.907097,-114.075066
1101,Cedarbrae Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"11024 OAKFIELD DR SW, CALGARY, AB",ROOFTOP,50.9545912,-114.1298788
1103,Marlborough Park Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"6021 MADIGAN DR NE, CALGARY, AB",ROOFTOP,51.0600522,-113.9425556
1105,Erin Woods Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"83 ERIN PARK DR SE, CALGARY, AB",ROOFTOP,51.0229033,-113.9637915
1106,Deer Run Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2223 146 AV SE, CALGARY, AB",ROOFTOP,50.9213514,-114.0076231
1108,Bridgeland / Riverside Community Centre,Leisure / Community Centres,General,Indoor,Public,,"917 CENTRE AV NE, CALGARY, AB",ROOFTOP,51.0520922,-114.0407289
1109,Willow Park / Mapleridge Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"680 ACADIA DR SE, CALGARY, AB",ROOFTOP,50.9599468,-114.0433676
1112,Southwood Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"11 SACKVILLE DR SW, CALGARY, AB",ROOFTOP,50.95679440000001,-114.0863818
1114,Sunalta Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"1627 10 AV SW, CALGARY, AB",ROOFTOP,51.0442084,-114.098346
1115,Queensland / Diamond Cove Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"649 QUEENSLAND DR SE, CALGARY, AB",ROOFTOP,50.9396194,-114.0216796
1118,Calgary Stampede Park,Ice,Single surface,Indoor,Public,1.0,"1410 OLYMPIC WY SE, CALGARY, AB",ROOFTOP,51.0379357,-114.0533282
1119,Abbeydale Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"821 ABBEYDALE DR NE, CALGARY, AB",ROOFTOP,51.0596791,-113.9319906
1122,Banff Trail Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2115 20 AV NW, CALGARY, AB",ROOFTOP,51.07030169999999,-114.109007
1123,Crescent Heights Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"1101 2 ST NW, CALGARY, AB",GEOMETRIC_CENTER,51.0613025,-114.0688017
1125,WinSport's Canada Olympic Park,Leisure / Community Centres,General,Indoor,Public,,"88 CANADA OLYMPIC RD SW, CALGARY, AB",ROOFTOP,51.0824137,-114.2152912
1126,Ramsay Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"1136 8 ST SE, CALGARY, AB",ROOFTOP,51.0383979,-114.041144
1127,Lake Bonavista Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"1401 ACADIA DR SW, CALGARY, AB",ROOFTOP,50.9368956,-114.0490608
1131,Spruce Cliff Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"3375 SPRUCE DR SW, CALGARY, AB",ROOFTOP,51.0473647,-114.1358178
1132,Acadia Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"240 90 AV SE, CALGARY, AB",ROOFTOP,50.9731134,-114.0651716
1136,Scenic Acres Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"8825 SCURFIELD DR NW, CALGARY, AB",ROOFTOP,51.122084,-114.2143171
1139,Tuxedo Park Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"202 29 AV NE, CALGARY, AB",ROOFTOP,51.078903,-114.0596367
1140,Beddington Heights Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"375 BERMUDA DR NW, CALGARY, AB",ROOFTOP,51.1316222,-114.0852083
1143,Cambrian Heights Community Centre,Leisure / Community Centres,,Both,Public,1.0,"600 NORTHMOUNT DR NW, CALGARY, AB",ROOFTOP,51.0867915,-114.0874362
1145,Mount Royal Community Centre,Leisure / Community Centres,General,Indoor,Public,,"2317 10 ST SW, CALGARY, AB",ROOFTOP,51.03172439999999,-114.0860757
1146,North Glenmore Park Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2231 LONGRIDGE DR SW, CALGARY, AB",ROOFTOP,50.9974672,-114.1122559
1152,Edgemont Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"33 EDGEVALLEY CI NW, CALGARY, AB",ROOFTOP,51.1284174,-114.1438946
1154,Parkdale Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"3512 5 AV NW, CALGARY, AB",ROOFTOP,51.0603931,-114.1368725
1156,North Haven Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"5003 NORTH HAVEN DR NW, CALGARY, AB",ROOFTOP,51.0990293,-114.0866689
1157,Millican/Ogden/Lynnwood Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"6901 20A ST SE, CALGARY, AB",ROOFTOP,50.99148229999999,-114.0108801
1159,Varsity Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"4303 VARSITY DR NW, CALGARY, AB",ROOFTOP,51.0919744,-114.1492326
1162,Rundle Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"2409 50 ST NE, CALGARY, AB",ROOFTOP,51.07472199999999,-113.9621471
1164,Temple Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"167 TEMPLEGREEN RD NE, CALGARY, AB",ROOFTOP,51.087477,-113.944498
1167,TELUS Spark  Centre,Leisure / Community Centres,General,Indoor,Public,,"220 ST GEORG, CALGARY, AB",ROOFTOP,51.0538914,-114.0244504
1168,Coach Hill/Patterson Heights Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"60 PATTERSON BV SW, CALGARY, AB",ROOFTOP,51.0613357,-114.1780277
1169,Cliffe Bungalow/Mission Community Association,Leisure / Community Centres,General,Both,Public,1.0,"2201 CLIFF ST SW, CALGARY, AB",ROOFTOP,51.0333847,-114.0759874
1170,Forest Lawn Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"4020 26 AV SE, CALGARY, AB",ROOFTOP,51.0306429,-113.9768419
1171,South Calgary Community Centre,Leisure / Community Centres,General,Both,Public,1.0,"3130 16 ST SW, CALGARY, AB",ROOFTOP,51.0256289,-114.0986013
1173,Fort Calgary,Leisure / Community Centres,General,Indoor,Public,1.0,"750 9 AV SE, CALGARY, AB",GEOMETRIC_CENTER,51.0444553,-114.0445093
1174,Forest Heights/ Fonda Community Centre,Ice,2+ surfaces,Both,Public,1.0,"4909 FOREGO AV SE, CALGARY, AB",ROOFTOP,51.04920420000001,-113.9630091
1176,University of Calgary Olympic Oval,Ice,2+ surfaces,Both,Public,,"2500 UNIVERSITY DR. N.W. , CALGARY, AB",ROOFTOP,51.0755455,-114.1297544
1179,Scotiabank Saddledome,Ice,Single surface,Indoor,Public,1.0,"555 SADDLEDOME RISE S, CALGARY, AB",ROOFTOP,51.0374456,-114.0518731
1180,All Chiefs Sportsplex,Ice,2+ surfaces,Indoor,Public,1.0,"9911 CHIILA BLVD., TSUUT INA NATION, AB",GEOMETRIC_CENTER,50.94833329999999,-114.1458333
1185,Calgary Curling Club,Ice,Curling,Indoor,Public,1.0,"720 3 ST NW, CALGARY, AB",ROOFTOP,51.0582881,-114.0695287
1186,Garrison Curling Club Calgary,Ice,Curling,Indoor,Public,1.0,"2288 47 AVE SW, CALGARY, AB",ROOFTOP,51.0119237,-114.11472
1187,North Hill Curling Club ,Ice,Curling,Indoor,Public,,"1201 2 STREET NW, CALGARY, AB",ROOFTOP,51.0626706,-114.0683366
1188,Calgary Youth Curling Association,Ice,Curling,Indoor,Public,,"720 3RD STREET NW, CALGARY, AB",ROOFTOP,51.0582881,-114.0695287
1189,Calgary Wheelchair Curling Association,Ice,Curling,Indoor,Public,1.0,"2288 47 AVENUE SW, CALGARY, AB",ROOFTOP,51.0119237,-114.11472
1190,Calgary Sport and Social Club,Leisure / Community Centres,General,Indoor,Public,1.0,"4411 6 STREET SE, CALGARY, AB",ROOFTOP,51.014754,-114.0504339
1198,Calgary Winter Club ,Leisure / Community Centres,General,Indoor,Public,1.0,"4611 14 STREET NW, CALGARY, AB",ROOFTOP,51.0933612,-114.0956078
1207,Curlers Corner,Ice,Curling,Indoor,Public,1.0,"720 3 ST NW, CALGARY, AB",ROOFTOP,51.0582881,-114.0695287
1208,The Glencoe Club,Leisure / Community Centres,General,Indoor,Public,,"636 29 AV SW, CALGARY, AB",ROOFTOP,51.0288966,-114.0801157
1215,Acadia Valley Curling Club,Ice,Curling,Indoor,Public,,"ACADIA VALLEY AB, CALGARY, AB",APPROXIMATE,51.157764,-110.214152
1216,Acme Community Centre,Leisure / Community Centres,General,Indoor,Public,,"139 ALLISON STREET, ACME, AB",ROOFTOP,51.49373,-113.511326
1217,Acme Curling Club,Ice,Curling,Indoor,Public,,"117 ALLISON ST, ACME, AB",RANGE_INTERPOLATED,51.4937646,-113.5102947
1218,Acme Racquetball Club,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,"610 WALSH AVE, ACME, AB, ACME, AB",ROOFTOP,51.4971182,-113.5123149
1219,Ogden Legion,Ice,Curling,Indoor,Public,1.0,"120 ALLISON ST, CALGARY, AB",APPROXIMATE,51.04473309999999,-114.0718831
1220,Springbank Curling Club,Ice,Curling,Indoor,Public,1.0,"32224A SPRINGBANK ROAD, CALGARY, AB",ROOFTOP,51.0678875,-114.3478626
1221,The Compound Skate Park,Physical Recreation & Sports,Skate parks,Indoor,Public,1.0,"840 26 AV SE, CALGARY, AB",ROOFTOP,51.0309101,-114.0409834
1222,Midnapore Skate Spot,Physical Recreation & Sports,Skate parks,Indoor,Public,,"50 MIDPARK RISE SE, CALGARY, AB",ROOFTOP,50.9154898,-114.05653
1223,The Park Indoor Skatepark,Physical Recreation & Sports,Skate parks,Indoor,Public,,"7056 FARRELL RD SE, CALGARY, AB",ROOFTOP,50.9922913,-114.0555139
1226,Foothills Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"2431 CROWCHILD TRAIL NW, CALGARY, AB",ROOFTOP,51.0717777,-114.1231535
1227,The Riverside Club,Aquatics,25m pool with or without other pools,Indoor,Public,,"110 POINT MCKAY CR NW, CALGARY, AB",ROOFTOP,51.0621879,-114.1480997
1229,Sait Aquatic Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"1301 16 AVE NW, CALGARY, AB",ROOFTOP,51.0663333,-114.0865588
1233,UCalgary Aquatic Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"2500 UNIVERSITY DR NW, CALGARY, AB",ROOFTOP,51.0755455,-114.1297544
1234,Calgary Jewish Community Centre,Aquatics,25m pool with or without other pools,Indoor,Public,1.0,"1607 90 AVE SW, CALGARY, AB",ROOFTOP,50.9715795,-114.0990656
1236,Mount Royal University Aquatic Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"4825 MOUNT ROYAL GATE SW, CALGARY, AB",ROOFTOP,51.0087427,-114.1340982
1237,The Beach YYC,Physical Recreation & Sports,Sport fields,Indoor,Public,,"3030-2600 PORTLAND STREET SE, CALGARY, AB",ROOFTOP,51.031377,-114.0329874
1238,Alberta Chinese Recreation Association ,Leisure / Community Centres,General,Indoor,Public,1.0,"132 3 AV SE, CALGARY, AB",ROOFTOP,51.050472,-114.0608752
1239,FLC Seniors Club,Leisure / Community Centres,Seniors,Both,Public,,"11150 BONAVENTURE DRIVE SE, CALGARY, AB",ROOFTOP,50.9522484,-114.0590421
1243,Bow Cliff Seniors,Leisure / Community Centres,Seniors,Indoor,Public,,"608 POPLAR RD SW, CALGARY, AB",ROOFTOP,51.04755,-114.136349
1244,Calgary Chinese Elderly Citizens' Association,Leisure / Community Centres,Seniors,Indoor,Public,,"111 RIVERFRONT AV SW, CALGARY, AB",ROOFTOP,51.05181,-114.0632911
1245,Boys & Girls Club Penbrooke Club,Leisure / Community Centres,Youth,Indoor,Public,,"6098 PENBROOKE DRIVE SE, CALGARY, AB",RANGE_INTERPOLATED,51.0453055,-113.944222
1246,Boys & Girls Club Pineridge Club,Leisure / Community Centres,Youth,Indoor,Public,,"6012 RUNDLEHORN DR NE, CALGARY, AB",ROOFTOP,51.071642,-113.9457413
1247,Boys & Girls Club Bowness Club,Leisure / Community Centres,Youth,Indoor,Public,,"36 7930 BOWNESS RD NW, CALGARY, AB",ROOFTOP,51.0898584,-114.200138
1248,Boys & Girls Club Forest Lawn Club,Leisure / Community Centres,Youth,Indoor,Public,,"4105 16 AV SE, CALGARY, AB",ROOFTOP,51.0392433,-113.9754473
1249,Boys & Girls Club Renfrew,Leisure / Community Centres,Youth,Indoor,Public,,"731 13TH AV NE, CALGARY, AB",ROOFTOP,51.0637807,-114.047534
1250,Cornerstone Youth Centre - Mayland,Leisure / Community Centres,Youth,Indoor,Public,1.0,"904 19 ST NE, CALGARY, AB",ROOFTOP,51.0598233,-114.012995
1251,The Calgary Bridge Foundation for Youth,Leisure / Community Centres,Youth,Indoor,Public,,"5920 MACLEOD TRAIL SW, CALGARY, AB",ROOFTOP,51.0005947,-114.0709139
1252,Youth Centres of Calgary,Leisure / Community Centres,Youth,Indoor,Public,1.0,"7400 23 ST SE, CALGARY, AB",RANGE_INTERPOLATED,50.9866465,-114.0027884
1253,Youth Central ,Leisure / Community Centres,Youth,Indoor,Public,1.0,"105 12 AV SE, CALGARY, AB",ROOFTOP,51.0411562,-114.0629964
1254,LOL Calgary Family Entertainment Centre,Physical Recreation & Sports,Playgrounds ,Indoor,Public,,"13226 MACLEOD TRAIL SE, CALGARY, AB",ROOFTOP,50.9328395,-114.0661016
1255,Hide N Seek,Physical Recreation & Sports,Playgrounds ,Indoor,Public,,"49 AERO DR NE, CALGARY, AB",ROOFTOP,51.1231564,-114.0404367
1256,Treehouse Indoor Playground,Physical Recreation & Sports,Playgrounds ,Indoor,Public,1.0,"240 MIDPARK WAY SE, CALGARY, AB",ROOFTOP,50.9135623,-114.0639924
1257,Heroic Athletics,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1.0,"125 - 2985 23 AVE NE, CALGARY, AB",ROOFTOP,51.0712426,-113.9942182
1258,World Gym Calgary Southland,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1.0,"10655 SOUTHPORT RD SW SUITE B1, CALGARY, AB",ROOFTOP,50.9590815,-114.0740282
1259,Gold's Gym Calgary Northgate,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,,"565 36 ST NE, CALGARY, AB",ROOFTOP,51.0565242,-113.9851305
1260,Fitness Table,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,,"1130 12 ST SW, CALGARY, AB",ROOFTOP,51.0425228,-114.0911432
1261,Jack Simpson Gymnasium,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1.0,"2500 UNIVERSITY DR. N.W., CALGARY, AB",ROOFTOP,51.0755455,-114.1297544
1262,Fitness Plus,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,,"10401 BRAESIDE DR SW, CALGARY, AB",ROOFTOP,50.96031809999999,-114.1041249
1265,Anytime Fitness ,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,,"3650 WESTWINDS DR NE, CALGARY, AB",ROOFTOP,51.1076687,-113.9683721
1266,University of Calgary Active Living,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"2500 UNIVERSITY DR NW, CALGARY, AB",ROOFTOP,51.0755455,-114.1297544
