address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,Unnamed: 19,lat,lon
"1101 Wabasha Street, MB",,Winnipeg,Transcona Kinsmen Centennial,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/transcona.stm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.9013852,-96.9982934
"1111 Wall St., MB",,Winnipeg,Sargent Park Arena,https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8973989,-97.181327
"1144 Kingsford Pl, Winnipeg, MB",,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.93313,-97.073661
"1144 Kingsford Pl, Winnipeg, MB",,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,,49.93313,-97.073661
"1144 Kingsford Pl, Winnipeg, MB",,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.93313,-97.073661
"1144 Kingsford Pl, Winnipeg, MB",,Winnipeg,North Kildonan Community Centre,http://nkcc.ca/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.93313,-97.073661
"1145 Strathcona Road, East Selkirk, MB",,St. Clements,East Selkirk Recreation Association,https://www.eastselkirkrec.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,50.1320406,-96.8277831
"115 Sanford Fleming Rd, Winnipeg, MB",,Winnipeg,Park City West Community Centre,http://pcwcc.pointstreaksites.com/view/pcwcc/contact-us-1,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.906716,-97.01832
"115 Sanford Fleming Rd, Winnipeg, MB",,Winnipeg,Park City West Community Centre,http://pcwcc.pointstreaksites.com/view/pcwcc/contact-us-1,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.906716,-97.01832
"1188 Dakota St, Winnipeg, MB",,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8192349,-97.1012004
"1188 Dakota St, Winnipeg, MB",,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8192349,-97.1012004
"1188 Dakota St, Winnipeg, MB",,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,,49.8192349,-97.1012004
"1188 Dakota St, Winnipeg, MB",,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8192349,-97.1012004
"1188 Dakota St, Winnipeg, MB",,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.8192349,-97.1012004
"1215 Archibald Street, MB",Winnipeg (MN),Winnipeg,Bonivital,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/bonivital.stm,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,49.8602976,-97.0881451
"1215 Archibald Street, MB",,Winnipeg,Bonivital,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/bonivital.stm,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,,49.8602976,-97.0881451
"124 Borden Ave, Winnipeg, MB",,Winnipeg,South Transcona Community Centre,https://www.southtransconacc.com/contact-us,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8843491,-97.0011452
"124 Borden Ave, Winnipeg, MB",,Winnipeg,South Transcona Community Centre,https://www.southtransconacc.com/contact-us,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8843491,-97.0011452
"1295 Salter St, Winnipeg, MB",,Winnipeg,Vince Leah Community Centre,https://www.vinceleahrecreationcentre.com/contact-us.html,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.950922,-97.114919
"1315 Strathcona St, Winnipeg, MB",,Winnipeg,Valour Community Centre - Clifton site,http://valourcc.ca/facilities/clifton/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.902807,-97.189837
"1370 Grosvenor Ave, Winnipeg, MB",,Winnipeg,Central Corydon CC- River Heights site,https://corydoncc.com/facilities/river-heights-facilities/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.865473,-97.1814989
"1370 Grosvenor Ave, Winnipeg, MB",,Winnipeg,Central Corydon CC- River Heights site,https://corydoncc.com/facilities/river-heights-facilities/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.865473,-97.1814989
"1377 Clarence Ave., MB",,Winnipeg,Century Arena,https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8312423,-97.1687404
"1400 Rothesay Street, MB",,Winnipeg,Peguis Trail Health & Fitness Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/peguistrail.stm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.942976,-97.077601
"1400 Rothesay Street, MB",,Winnipeg,Peguis Trail Health & Fitness Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/peguistrail.stm,Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,,49.942976,-97.077601
"1410 Rothesay St., MB",,Winnipeg,River East Arena,https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.943873,-97.0752725
"1415 Burrows Ave, Winnipeg, MB",,Winnipeg,Northwood Community Centre,http://northwoodcc.ca/our-facilities.html,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9306597,-97.1792125
"1415 Burrows Ave, Winnipeg, MB",,Winnipeg,Northwood Community Centre,http://northwoodcc.ca/our-facilities.html,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.9306597,-97.1792125
"1420 Dawson Rd, Lorette, MB",,Taché,Lorette Community Complex,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.7364478,-96.8650061
"1420 Dawson Rd, Lorette, MB",,Taché,Lorette Community Complex,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.7364478,-96.8650061
"153 Seekings, Headingley, MB  ",,Headingley,South Hall – Phoenix Recreation Centre,http://www.rmofheadingley.ca/p/rental-rates,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8636809,-97.4194223
"1625 Logan Ave, Winnipeg, MB",,Winnipeg,Weston Community Centre,,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9209238,-97.1925084
"1625 Logan Ave, Winnipeg, MB",,Winnipeg,Weston Community Centre,,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.9209238,-97.1925084
"165 Sansome Ave, Winnipeg, MB",,Winnipeg,Kirkfield Westwood Community Centre - Sansome Site,https://kirkfieldwestwoodcc.teamsnapsites.com/facilityrental/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8759789,-97.3041889
"165 Sansome Ave, Winnipeg, MB",,Winnipeg,Kirkfield Westwood Community Centre - Sansome Site,https://kirkfieldwestwoodcc.teamsnapsites.com/facilityrental/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8759789,-97.3041889
"165 Sansome Ave, Winnipeg, MB",,Winnipeg,Kirkfield Westwood Community Centre - Sansome Site,https://kirkfieldwestwoodcc.teamsnapsites.com/facilityrental/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8759789,-97.3041889
"165 Sansome Ave, Winnipeg, MB",,Winnipeg,Kirkfield Westwood Community Centre - Sansome Site,https://kirkfieldwestwoodcc.teamsnapsites.com/facilityrental/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8759789,-97.3041889
"170 Fleetwood Rd, Winnipeg, MB",,Winnipeg,Westridge Community Centre - Whyte Ridge Site,http://whyteridge.ca/wp-cc/contact-us/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8121027,-97.215648
"170 Fleetwood Rd, Winnipeg, MB",,Winnipeg,Westridge Community Centre - Whyte Ridge Site,http://whyteridge.ca/wp-cc/contact-us/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8121027,-97.215648
"1717 Gateway Rd, Winnipeg, MB",,Winnipeg,Gateway Recreation Centre,https://gatewayrec.com/contact-us/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9460444,-97.0470955
"1717 Gateway Rd, Winnipeg, MB",,Winnipeg,Gateway Recreation Centre,https://gatewayrec.com/contact-us/,Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,,49.9460444,-97.0470955
"1717 Gateway Rd, Winnipeg, MB",,Winnipeg,Gateway Recreation Centre,https://gatewayrec.com/contact-us/,Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,,49.9460444,-97.0470955
"174 Mandan Dr, Sanford, MB ",,Macdonald,Macdonald Hockey - Sanford/Brunkild Rep. (Sanford Arena),"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51",Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.6793113,-97.4468063
"176 Worthington Ave, Winnipeg, MB",,Winnipeg,Norberry-Glenlee Community Centre - Glenlee site,http://www.norberry-glenlee.ca/Contact.aspx,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8421645,-97.0975924
"176 Worthington Ave, Winnipeg, MB",,Winnipeg,Norberry-Glenlee Community Centre - Glenlee site,http://www.norberry-glenlee.ca/Contact.aspx,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8421645,-97.0975924
"176 Worthington Ave, Winnipeg, MB",,Winnipeg,Norberry-Glenlee Community Centre - Glenlee site,http://www.norberry-glenlee.ca/Contact.aspx,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.8421645,-97.0975924
"1885 Chancellor Dr, Winnipeg, MB",,Winnipeg,Waverley Heights Community Centre,https://www.swcc1.ca/facilities/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8097757,-97.1614413
"1887 Pacific Avenue West, MB",,Winnipeg,Eldon Ross,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/eldon_ross.stm,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,49.9214375,-97.1998409
"1887 Pacific Avenue West, MB",,Winnipeg,Eldon Ross,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/eldon_ross.stm,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,,49.9214375,-97.1998409
"191 Robert Koop Rd, Landmark, MB",,Taché,Landmark Recreation Association,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.6639687,-96.8136482
"191 Robert Koop Rd, Landmark, MB",,Taché,Landmark Recreation Association,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.6639687,-96.8136482
"191 Robert Koop Rd, Landmark, MB",,Taché,Kinsmen Community Centre,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.6639687,-96.8136482
"200 Glendale Blvd, Winnipeg, MB",,Winnipeg,Woodhaven Community Centre,http://woodhavencc.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8729461,-97.2715473
"200 Glendale Blvd, Winnipeg, MB",,Winnipeg,Woodhaven Community Centre,http://woodhavencc.ca/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8729461,-97.2715473
"200 Isabel St, Winnipeg, MB",,Winnipeg,Central Community Centre,https://www.gcwcc.mb.ca/site/assets/files/3133/central.pdf,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.904157,-97.1487176
"200 Isabel St, Winnipeg, MB",,Winnipeg,Central Community Centre,https://www.gcwcc.mb.ca/site/assets/files/3133/central.pdf,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.904157,-97.1487176
"200 Isabel Street, MB",,Winnipeg,Freight House Recreation and Leisure Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/freighthouse.stm,Leisure / Community Centres,General,Indoor,Public,,,,Door #1,,,,,,,,49.904157,-97.1487176
"200 Isabel Street, MB",,Winnipeg,Freight House Recreation and Leisure Centre,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/freighthouse.stm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,Door #1,,,,,,,,49.904157,-97.1487176
"2050 Ness Avenue, MB",,Winnipeg,Deer Lodge Tennis Club,https://winnipeg.ca/cms/recreation/facilities/leisurecentres/deer_lodge.stm,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,,49.884129,-97.232047
"2055 Ness Avenue, MB",,Winnipeg,St. James Civic Centre,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_civic.stm,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,49.885907,-97.2345069
"2055 Ness Avenue, MB",,Winnipeg,St. James Civic Centre,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/st_james_civic.stm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.885907,-97.2345069
"2055 Ness Avenue, MB",,Winnipeg,St. James Civic Centre,"http://www.flippubs.com/publication/?i=602895#{""issue_id"":602895,""publication_id"":""60769"",""page"":10}",Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.885907,-97.2345069
"2055 Ness Avenue, MB",,Winnipeg,St. James Civic Centre,"http://www.flippubs.com/publication/?i=602895#{""issue_id"":602895,""publication_id"":""60769"",""page"":10}",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.885907,-97.2345069
"2055 Ness Avenue, MB",,Winnipeg,St. James Civic Centre Arena,https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.885907,-97.2345069
"210 Rita St, Winnipeg, MB",,Winnipeg,Sturgeon Heights Community Centre - Rita Site,http://www.sturgeonheightscc.com/winnipeg-hall-rentals/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8762226,-97.2587476
"210 St Cross St, Winnipeg, MB",,Winnipeg,Luxton Community Centre,https://luxtoncc.org/facilities/hall-rental/,Leisure / Community Centres,,Indoor,Public,,,,,,,,,,,,49.9249855,-97.1186356
"211 Mercy Street, Selkirk, MB",,St. Clements,Selkitk Community Pool,https://selkirkcommunitypool.weebly.com/about.html,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,50.1390423,-96.8912227
"218 Antrim Rd, Winnipeg, MB",,Winnipeg,Valley Gardens Community Centre,https://www.google.ca/search?q=valley+Gardens+Community+Centre&oq=valley+Gardens+Community+Centre&aqs=chrome..69i57j69i59j69i60l3.3510j0j4&sourceid=chrome&ie=UTF-8,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9198607,-97.0709706
"2255 King Edward St, Winnipeg, MB",,Winnipeg,Tyndall Park Community Centre,http://www.tyndallparkcc.com/Basketball.html,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9371129,-97.203506
"2255 King Edward St, Winnipeg, MB",,Winnipeg,Tyndall Park Community Centre,http://www.tyndallparkcc.com/Basketball.html,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.9371129,-97.203506
"25 Poseidon Bay, MB",,Winnipeg,Pan Am,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/pan_am.stm,Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,49.8552507,-97.1730943
"25 Poseidon Bay, MB",,Winnipeg,Pan Am,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/pan_am.stm,Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,,49.8552507,-97.1730943
"25 Poseidon Bay, MB",,Winnipeg,Pan Am,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/pan_am.stm,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8552507,-97.1730943
"25 Poseidon Bay, MB",,Winnipeg,Pan Am,https://winnipeg.ca/cms/recreation/facilities/pools/indoor_pools/pan_am.stm,Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,,,,,,,,,,,,49.8552507,-97.1730943
"254 Lakewood Blvd, Winnipeg, MB",,Winnipeg,Southdale Community Centre,http://www.southdale.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8460442,-97.0780711
"254 Lakewood Blvd, Winnipeg, MB",,Winnipeg,Southdale Community Centre,http://www.southdale.ca/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8460442,-97.0780711
"26 Memorial Blvd, Hazelridge, MB",,Springfield,Hazelridge Sports Complex,https://hazelridgesports.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9623417,-96.7184776
"26 Memorial Blvd, Hazelridge, MB",,Springfield,Hazelridge Sports Complex,https://hazelridgesports.ca/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.9623417,-96.7184776
"260 Hoddinott Road, East St Paul, MB",,East St. Paul,East St. Paul Curling,https://eaststpaulcurlingclub.net/index.php/our-club/location,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.9881906,-97.0383592
"266 Hoddinott Rd, East Saint Paul, MB ",,East St. Paul,East St. Paul Arena and Recreation Complex,"http://www.eaststpaul.com/main.asp?fxoid=FXMenu,4&cat_ID=3&sub_ID=76",Ice,Single surface,Both,Public,,,,,,,,,,,,49.986892,-97.038345
"266 Hoddinott Rd, East Saint Paul, MB ",,East St. Paul,East St. Paul Arena and Recreation Complex,"http://www.eaststpaul.com/main.asp?fxoid=FXMenu,4&cat_ID=3&sub_ID=76",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.986892,-97.038345
"271 De La Cathedrale Ave, Winnipeg, MB",,Winnipeg,Notre Dame Recreation Association,https://www.ndrc.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8906355,-97.1164799
"271 De La Cathedrale Ave, Winnipeg, MB",,Winnipeg,Notre Dame Recreation Association,https://www.ndrc.ca/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8906355,-97.1164799
"271 De La Cathedrale Ave, Winnipeg, MB",,Winnipeg,Notre Dame Recreation Association,https://www.ndrc.ca/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8906355,-97.1164799
"271 De La Cathedrale Ave, Winnipeg, MB",,Winnipeg,Notre Dame Recreation Association,https://www.ndrc.ca/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8906355,-97.1164799
"271 North Dr, Winnipeg, MB",,Winnipeg,Wildwood Community Centre,http://wildwoodcc.ca/contact/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8492171,-97.1281592
"276 Ste. Agathe St., Ste. Agathe, MB",,Ritchot,Ste. Agathe Arena,https://www.ritchot.com/p/recreation-centres-arenas-,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.5671454,-97.1838532
"282 Niverville Ave, Winnipeg, MB",,Winnipeg,Champlain Community Centre,https://champlaincc.ca/contact/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8752918,-97.1142671
"282 Niverville Ave, Winnipeg, MB",,Winnipeg,Champlain Community Centre,https://champlaincc.ca/contact/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8752918,-97.1142671
"282 Niverville Ave, Winnipeg, MB",,Winnipeg,Champlain Community Centre,https://champlaincc.ca/contact/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8752918,-97.1142671
"293 Murray Ave, Winnipeg, Mb",,Winnipeg,Red River Community Centre,https://www.redrivercommunitycentre.ca/contact,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.955186,-97.1000775
"293 Murray Ave, Winnipeg, Mb",,Winnipeg,Red River Community Centre,https://www.redrivercommunitycentre.ca/contact,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.955186,-97.1000775
"294 Bertrand St., MB",,Winnipeg,Bertrand Arena,https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.883695,-97.115206
"3 Marshall Cres, Winnipeg, MB",,Winnipeg,Westridge Community Centre,https://www.facebook.com/Westridgecommcenter/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8374725,-97.1566286
"30 026 Zora Road, Anola, MB",,Springfield,Cooks Creek Community Club,https://www.rmofspringfield.ca/p/springfield-community-clubs,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,50.003428,-96.7399552
"30 026 Zora Road, Anola, MB",,Springfield,Cooks Creek Community Club,https://www.rmofspringfield.ca/p/springfield-community-clubs,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,50.003428,-96.7399552
"3021 Birds Hill Road, East St. Paul, MB",,East St. Paul,Centennial Plaza,"http://www.eaststpaul.com/main.asp?fxoid=FXMenu,1&cat_ID=3&sub_ID=89&sub2_ID=102",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9707908,-97.0098605
"304-183 Pembina Trail, Ste. Agathe, MB",,Ritchot,Ste. Agathe Culture & Community Club,https://www.ritchot.com/p/recreation-centres-arenas-,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.5672799,-97.1828109
"305 Morgan Cres, Winnipeg, MB",,Winnipeg,Assiniboine West Recreation Association - Morgan Site,https://www.awra.ca/hallrentals,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8896199,-97.3035504
"315 Laxdal Rd, Winnipeg, MB",,Winnipeg,Varsity View Community Centre,https://varsityview.org/about/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8640915,-97.2591365
"315 Laxdal Rd, Winnipeg, MB",,Winnipeg,Varsity View Community Centre,https://varsityview.org/about/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.8640915,-97.2591365
"3160 McBey Ave, Winnipeg, MB",,Winnipeg,Kirkfield Westwood Community Centre - McBey Site,http://www.kirkfieldwestwood.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.876502,-97.287384
"3160 McBey Ave, Winnipeg, MB",,Winnipeg,Kirkfield Westwood Community Centre - McBey Site,http://www.kirkfieldwestwood.com/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.876502,-97.287384
"3160 McBey Ave, Winnipeg, MB",,Winnipeg,Kirkfield Westwood Community Centre - McBey Site,http://www.kirkfieldwestwood.com/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.876502,-97.287384
"323 Bruce Ave East, Winnipeg, MB",,Winnipeg,Deer Lodge Community Centre,http://www.deerlodgecommunityclub.ca/contact/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8818843,-97.2269184
"327 St. Adolphe Road, St. Adolphe, MB",,Ritchot,"

St. Adolphe Curling Club",https://www.ritchot.com/p/recreation-centres-arenas-,Ice,Curling,Indoor,Public,,,,,,,,,,,,49.6712825,-97.1060857
"345 St. Adolphe Rd., St. Adolphe, MB. ",,Ritchot,St. Adolphe Arena & Pioneer Hall,https://www.ritchot.com/p/recreation-centres-arenas-,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.6709894,-97.1066442
"345 St. Adolphe Rd., St. Adolphe, MB. ",,Ritchot,St. Adolphe Arena & Pioneer Hall,https://www.ritchot.com/p/recreation-centres-arenas-,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.6709894,-97.1066442
"3450 Pembina Hwy, Winnipeg, MB",,Winnipeg,St. Norbert Community Centre,https://www.stnorbertcc.ca/contact-us,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.7684372,-97.1549438
"3450 Pembina Hwy, Winnipeg, MB",,Winnipeg,St. Norbert Community Centre,https://www.stnorbertcc.ca/contact-us,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.7684372,-97.1549438
"3450 Pembina Hwy, Winnipeg, MB",,Winnipeg,St. Norbert Community Centre,https://www.stnorbertcc.ca/contact-us,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.7684372,-97.1549438
"359 Dowling Ave E, Winnipeg, MB",,Winnipeg,Oxford Heights Community Centre,http://oxfordheights.pointstreaksites.com/view/oxfordheights/hall-rentals,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9067299,-96.9923959
"359 Dowling Ave E, Winnipeg, MB",,Winnipeg,Oxford Heights Community Centre,http://oxfordheights.pointstreaksites.com/view/oxfordheights/hall-rentals,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.9067299,-96.9923959
"359 Dowling Ave E, Winnipeg, MB",,Winnipeg,Oxford Heights Community Centre,http://oxfordheights.pointstreaksites.com/view/oxfordheights/hall-rentals,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.9067299,-96.9923959
"360 Cockburn St N, Winnipeg, MB",,Winnipeg,Earl Grey Community Centre,http://www.earlgreycc.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.866415,-97.150938
"360 Cockburn St N, Winnipeg, MB",,Winnipeg,Earl Grey Community Centre,http://www.earlgreycc.ca/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.866415,-97.150938
"360 Cockburn St N, Winnipeg, MB",,Winnipeg,Earl Grey Community Centre,http://www.earlgreycc.ca/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.866415,-97.150938
