address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,Unnamed: 19,lat,lon
"69 Pierson Drive, Tyndall, MB",,Brokenhead 4,Tyndall Village Community Centre,http://rmofbrokenhead.ca/m/tyndall-village-community-centre,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,50.0857464,-96.6578045
"70 Doubleday Dr, Winnipeg, MB",,Winnipeg,Maples Community Centre - James Nisbett site,http://maplescc.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9523779,-97.1658843
"70 Doubleday Dr, Winnipeg, MB",,Winnipeg,Maples Community Centre - James Nisbett site,http://maplescc.ca/,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.9523779,-97.1658843
"70 Doubleday Dr, Winnipeg, MB",,Winnipeg,Maples Community Centre - James Nisbett site,http://maplescc.ca/,Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,,49.9523779,-97.1658843
"70 Doubleday Dr, Winnipeg, MB",,Winnipeg,Maples Community Centre - James Nisbett site,http://maplescc.ca/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.9523779,-97.1658843
"700 Munroe Ave, Winnipeg, MB",,Winnipeg,Morse Place Community Centre,https://www.google.ca/search?q=Morse+Place+Community+Centre&oq=Morse+Place+Community+Centre&aqs=chrome..69i57.1724j0j4&sourceid=chrome&ie=UTF-8,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.9130128,-97.084261
709 Keewatin St. MB,,Winnipeg,Billy Mosienko Arena,https://winnipeg.ca/cms/recreation/programs/skating.stm#skateSchedule,Ice,Single surface,Indoor,Public,,,,,,,,,,,,49.9347711,-97.1945325
"715 Telfer St N, Winnipeg, MB",,Winnipeg,Valour Community Centre - Isaac Brock site,http://valourcc.ca/facilities/isaac-brock/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,49.8877002,-97.1868346
"715 Telfer St N, Winnipeg, MB",,Winnipeg,Valour Community Centre - Isaac Brock site,http://valourcc.ca/facilities/isaac-brock/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,49.8877002,-97.1868346
"715 Telfer St N, Winnipeg, MB",,Winnipeg,Valour Community Centre - Isaac Brock site,http://valourcc.ca/facilities/isaac-brock/,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,,49.8877002,-97.1868346
