address,CMANAME,CSDNAME,Facility name,URL,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Notes/Comments,Address Notes/Comments,lat,lon
"224 Grande Cote, Rosemere, QC",,Rosemère,Rosemere Curling Club,https://www.curlingrosemere.com/?lang=en,Ice,Curling,Indoor,Private,,,,,,,,,,,,45.6296382,-73.7968773
"224 Grande Cote, Rosemere, QC",,Rosemère,Rosemere Curling Club,https://www.curlingrosemere.com/?lang=en,Leisure / Community Centres,General,Indoor,Private,,,,,,,,,,,,45.6296382,-73.7968773
"2245 Route Édouard VII, Saint-Philippe, QC",,Saint-Philippe,Maison des jeunes de Saint-Philippe,http://www.mdj-saint-philippe.com/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.3618256,-73.4810667
"225 Boul Ste Anne, Sainte-Anne-des-Plains, QC",,Sainte-Anne-des-Plaines,Maison des Jeunes S A D P Inc,https://mdjsadp.wixsite.com/mdjsadp,Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,,,45.7636835,-73.811305
"225 Boulevard J. A. Pare, Repentigy, QC",,Repentigny,Repentigny Centre Community,https://centrecommunautairerepentigny.ca/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.7624549,-73.4771378
"225 Boulevard J. A. Pare, Repentigy, QC",,Repentigny,Repentigny Centre Community,https://centrecommunautairerepentigny.ca/,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,,45.7624549,-73.4771378
"225 Ontario St E, Montreal, QC",,Montréal,CEGEP Vieux Montreal Pool,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78925591&_dad=portal&_schema=PORTAL",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,,45.5140172,-73.5663059
"225 Rue Champigny, Repentigny, QC",,Repentigny,Scouts de Repentigny,https://www.arrondissement.com/repentigny-list-bottin/t1/s229-scouts-cadets/,Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,,,45.729925,-73.4763493
"225 Rue de la Gare, Saint-Jerome, QC",,Saint-Jérôme,Centre D'Action Benevole Saint-Jerome,http://www.cbsj.qc.ca/mission/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.7777609,-74.0006028
"2255 Rue Cartier, Longueuil, QC",,Longueuil,Maison de Quartier Saint-Jean-Vianney,http://www.rsjv.org/,Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,,45.5146946,-73.4816284
