Source_URL,PR_CPC_ABBR,CMA_Name,CSDName,Facility_Name,address,google_type,google_latitude,google_longitude
http://www.straitoncommunityclub.com/,BC,Abbotsford - Mission,Abbotsford,Straiton Community Hall,"4698 Sumas Mountain Rd, Abbotsford, BC ",ROOFTOP,49.0879311,-122.2050951
https://www.matsquihall.com/,BC,Abbotsford - Mission,Abbotsford,Matsqui Community Hall,"33676 St Olaf Ave, Abbotsford, BC ",ROOFTOP,49.1069518,-122.2918682
https://www.bradnerhall.ca/,BC,Abbotsford - Mission,Abbotsford,Bradner Hall,"5305 Bradner Rd, Abbotsford, BC ",ROOFTOP,49.098568,-122.426829
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC ",ROOFTOP,49.1405998,-122.3069265
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC ",ROOFTOP,49.1405998,-122.3069265
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC ",ROOFTOP,49.1405998,-122.3069265
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC ",ROOFTOP,49.1405998,-122.3069265
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC ",ROOFTOP,49.1405998,-122.3069265
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC ",ROOFTOP,49.1405998,-122.3069265
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC ",ROOFTOP,49.1405998,-122.3069265
