Source_URL,PR_CPC_ABBR,CMA_Name,CSDName,Facility_Name,address
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC "
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC "
https://www.mission.ca/municipal-hall/departments/parks-recreation-and-culture/general-info/,BC,Abbotsford - Mission,Mission,Mission Leisure Centre,"7650 Grand St, Mission, BC "
https://missiongolfclub.com/,BC,Abbotsford - Mission,Mission,Mission Golf & Country Club,"7983 Nelson St, Mission, BC"
https://www.missionseniorscentre.com/,BC,Abbotsford - Mission,Mission,Mission Seniors Activity Centre,"33100 10 Ave, Mission, BC "
https://www.missionseniorscentre.com/,BC,Abbotsford - Mission,Mission,Mission Seniors Activity Centre,"33100 10 Ave, Mission, BC "
https://www.kelowna.ca/parks-recreation/recreation-facilities/memorial-arena,BC,Kelowna,Kelowna,Kelowna Memorial Arena,"1424 Ellis St, Kelowna, BC "
https://www.capitalnewscentre.com/,BC,Kelowna,Kelowna,Capital News Centre,"4105 Gordon Dr, Kelowna, BC "
https://www.capitalnewscentre.com/,BC,Kelowna,Kelowna,Capital News Centre,"4105 Gordon Dr, Kelowna, BC "
https://www.capitalnewscentre.com/,BC,Kelowna,Kelowna,Capital News Centre,"4105 Gordon Dr, Kelowna, BC "
https://www.capitalnewscentre.com/,BC,Kelowna,Kelowna,Capital News Centre,"4105 Gordon Dr, Kelowna, BC "
https://www.capitalnewscentre.com/,BC,Kelowna,Kelowna,Capital News Centre,"4105 Gordon Dr, Kelowna, BC "
https://www.kelowna.ca/parks-recreation/recreation-facilities/rutland-arena,BC,Kelowna,Kelowna,Rutland Twin Arena,"645 Dodd Rd, Kelowna, BC "
https://www.kelownacurling.com/,BC,Kelowna,Kelowna,Kelowna Curling Club,"551 Recreation Ave, Kelowna, BC "
https://www.h2okelowna.ca/H2O-Adventure-Fitness/Home,BC,Kelowna,Kelowna,H2O Adventure + Fitness Centre,"4075 Gordon Dr, Kelowna, BC"
https://www.h2okelowna.ca/H2O-Adventure-Fitness/Home,BC,Kelowna,Kelowna,H2O Adventure + Fitness Centre,"4075 Gordon Dr, Kelowna, BC"
