Facility_ID,Facility_Name,Facility_Type,Facility_Subtype,Indoor_Outdoor,Ownership_Type,Ownership_flag,address
104,Lakeview Heights Community Hall,Leisure / Community Centres,General,Indoor,Public,,"860 ANDERS RD, WEST KELOWNA, BC"
105,West Kelowna Multi-Sport Dome,Physical Recreation & Sports,Sport fields,Indoor,Public,,"2139 MCDOUGALL RD, WEST KELOWNA, BC"
107,Westside Senior Citizens Service Association Activity Centre,Leisure / Community Centres,Seniors,Indoor,Public,,"3661 OLD OKANAGAN HWY, WEST KELOWNA, BC"
109,Webber Road Community Centre,Leisure / Community Centres,Youth,Indoor,Public,,"2829 INVERNESS RD, WEST KELOWNA, BC"
111,Westbank Lions Community Centre,Leisure / Community Centres,General,Indoor,Public,,"2466 MAIN ST, WEST KELOWNA, BC"
112,Westside Youth Centre,Leisure / Community Centres,Youth,Indoor,Public,,"2466 MAIN ST, WEST KELOWNA, BC"
113,Winfield Arena,Ice,Single surface,Indoor,Public,,"9830 BOTTOM WOOD LAKE RD, LAKE COUNTRY, BC"
114,Lake Country Seniors Activity Centre,Leisure / Community Centres,Seniors,Indoor,Public,,"9832 BOTTOM WOOD LAKE RD, LAKE COUNTRY, BC"
115,Okanagan Centre Hall,Leisure / Community Centres,General,Indoor,Public,,"11099 MADDOCK AVE, LAKE COUNTRY, BC"
116,Beasley Community Centre,Leisure / Community Centres,General,Indoor,Public,,"3450 WOODSDALE RD, LAKE COUNTRY, BC"
117,Peachland Community Centre,Leisure / Community Centres,General,Indoor,Public,,"4450 6 ST, PEACHLAND, BC"
118,Peachland Wellness Centre,Leisure / Community Centres,General,Indoor,Public,,"4426 5TH ST, PEACHLAND, BC"
119,50+ Activity Centre,Leisure / Community Centres,Seniors,Indoor,Public,,"5672 BEACH AVE, PEACHLAND, BC"
121,Okanagan Training Rink,Ice,Single surface,Indoor,Public,1,"5204 27 AVE, VERNON, BC"
122,Douglas Park Community Centre,Leisure / Community Centres,General,Both,Public,,"801 W 22ND AVE, VANCOUVER, BC"
125,Kensington Community Centre,Leisure / Community Centres,Seniors,Indoor,Public,,"5175 DUMFRIES ST, VANCOUVER, BC"
128,Kitsilano War Memorial Community Centre,Leisure / Community Centres,General,Indoor,Public,,"2690 LARCH ST, VANCOUVER, BC"
131,Evelyne Saller Centre,Leisure / Community Centres,General,Indoor,Public,,"320 ALEXANDER ST, VANCOUVER, BC"
132,Mount Pleasant Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1 KINGSWAY, VANCOUVER, BC"
134,Renfrew Park Community Centre,Leisure / Community Centres,General,Indoor,Public,,"2929 E 22ND AVE, VANCOUVER, BC"
137,Strathcona Community Centre,Leisure / Community Centres,General,Indoor,Public,,"601 KEEFER ST, VANCOUVER, BC"
139,West End Community Centre,Leisure / Community Centres,General,Indoor,Public,,"870 DENMAN ST, VANCOUVER, BC"
143,West Point Grey Community Centre,Leisure / Community Centres,General,Indoor,Public,,"4397 W 2ND AVE, VANCOUVER, BC"
146,Lord Byng Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"3990 W 14TH AVE, VANCOUVER, BC"
147,False Creek Community Centre,Leisure / Community Centres,General,Both,Public,,"1318 CARTWRIGHT ST, VANCOUVER, BC"
149,Roundhouse Community Arts & Recreation Centre,Leisure / Community Centres,General,Both,Public,,"181 ROUNDHOUSE MEWS, VANCOUVER, BC"
151,Coal Harbour Community Centre,Leisure / Community Centres,General,Both,Public,,"480 BROUGHTON ST, VANCOUVER, BC"
154,Dunbar Community Centre,Leisure / Community Centres,General,Both,Public,,"4747 DUNBAR ST, VANCOUVER, BC"
157,Hastings Community Centre,Leisure / Community Centres,General,Both,Public,,"3096 E HASTINGS ST, VANCOUVER, BC"
161,Gathering Place Community Centre,Leisure / Community Centres,General,Indoor,Public,,"609 HELMCKEN ST, VANCOUVER, BC"
163,Thunderbird Community Centre,Leisure / Community Centres,General,Indoor,Public,,"2311 CASSIAR ST, VANCOUVER, BC"
166,Kerrisdale Community Centre,Leisure / Community Centres,General,Both,Public,,"5851 WEST BLVD, VANCOUVER, BC"
170,Killarney Community Centre,Leisure / Community Centres,General,Both,Public,,"6260 KILLARNEY ST, VANCOUVER, BC"
175,Creekside Community Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"1 ATHLETES WAY, VANCOUVER, BC"
178,Britannia Centre,Leisure / Community Centres,General,Both,Public,,"1661 NAPIER ST, VANCOUVER, BC"
184,Marpole-Oakridge Community Centre,Leisure / Community Centres,General,Both,Public,,"990 W 59TH AVE, VANCOUVER, BC"
188,Marpole Curling Club,Ice,Curling,Indoor,Public,,"8730 HEATHER ST, VANCOUVER, BC"
189,Carnegie Centre Community Centre,Leisure / Community Centres,General,Indoor,Public,,"401 MAIN ST, VANCOUVER, BC"
192,Hillcrest Community Centre,Leisure / Community Centres,General,Both,Public,,"4575 CLANCY LORANGER WAY, VANCOUVER, BC"
198,Sunset Community Centre,Leisure / Community Centres,General,Both,Public,,"6810 MAIN ST, VANCOUVER, BC"
200,Trout Lake Community Centre,Leisure / Community Centres,General,Both,Public,,"3360 VICTORIA DR, VANCOUVER, BC"
204,Champlain Heights Community Centre,Leisure / Community Centres,General,Indoor,Public,,"3350 MAQUINNA DR, VANCOUVER, BC"
207,Ray-Cam Co-Operative Center,Leisure / Community Centres,General,Indoor,Public,,"920 E HASTINGS ST, VANCOUVER, BC"
210,Templeton Park Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"700 TEMPLETON DR, VANCOUVER, BC"
211,Vancouver Aquatic Centre,Aquatics,50m+ pool with or without other pools,Indoor,Public,,"1050 BEACH AVE, VANCOUVER, BC"
212,Connaught Park,Leisure / Community Centres,General,Both,Public,,"2390 W 10TH AVE, VANCOUVER, BC"
213,Kitsilano Community Centre,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1,"2690 LARCH ST, VANCOUVER, BC"
215,Sunset Arena,Ice,Single surface,Indoor,Public,,"390 E 51ST AVE, VANCOUVER, BC"
216,Kerrisdale Cyclone Taylor Arena,Ice,Single surface,Indoor,Public,,"5670 EAST BLVD, VANCOUVER, BC"
218,UBC Tennis Centre,Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Public,,"6160 THUNDERBIRD BLVD, VANCOUVER, BC"
219,The Arbutus Club,Aquatics,25m pool with or without other pools,Indoor,Private,,"2001 NANTON AVE, VANCOUVER, BC"
226,Stan Stronge Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"719 W 59TH AVE, VANCOUVER, BC"
227,Aquatics at the JCCGV,Aquatics,25m pool with or without other pools,Indoor,Public,1,"950 W 41ST AVE, VANCOUVER, BC"
228,Jewish Community Centre of Greater Vancouver,Leisure / Community Centres,General,Indoor,Public,1,"950 W 41ST AVE, VANCOUVER, BC"
231,Aquaventures Swim Centre,Aquatics,25m pool with or without other pools,Indoor,Public,1,"1630 W 5TH AVE, VANCOUVER, BC"
232,Kerr Pool at St. George's School,Aquatics,25m pool with or without other pools,Indoor,Private,,"4175 W 29TH AVE, VANCOUVER, BC"
233,UBC Aquatic Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"6080 STUDENT UNION BLVD, VANCOUVER, BC"
234,YWCA Health + Fitness Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"535 HORNBY ST, VANCOUVER, BC"
237,Robert Lee YMCA,Aquatics,25m pool with or without other pools,Indoor,Public,,"955 BURRARD ST, VANCOUVER, BC"
241,Propel Swimming Lessons,Aquatics,25m pool with or without other pools,Indoor,Private,,"1234 HORNBY ST, VANCOUVER, BC"
242,Swim Lessons Vancouver,Aquatics,25m pool with or without other pools,Indoor,Private,,"1088 BURRARD ST, VANCOUVER, BC"
243,Roundhouse Community Arts & Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"181 ROUNDHOUSE MEWS, VANCOUVER, BC"
244,UBC Student Recreation Centre,Ice,Single surface,Indoor,Private,,"6000 STUDENT UNION BLVD, VANCOUVER, BC"
247,Old Barn Community Centre,Leisure / Community Centres,General,Indoor,Private,,"6308 THUNDERBIRD BLVD, VANCOUVER, BC"
249,Westbrook Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"3335 WEBBER LN, VANCOUVER, BC"
252,Langara Family YMCA,Aquatics,25m pool with or without other pools,Indoor,Public,,"282 W 49TH AVE, VANCOUVER, BC"
255,Barclay Manor,Leisure / Community Centres,Seniors,Indoor,Public,,"1447 BARCLAY ST, VANCOUVER, BC"
257,Collingwood Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"5288 JOYCE ST, VANCOUVER, BC"
258,Downtown Eastside Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"573 E HASTINGS ST, VANCOUVER, BC"
259,Ajyal Islamic Centre,Leisure / Community Centres,General,Indoor,Public,,"181 KEEFER PL #202, VANCOUVER, BC"
260,Gordon Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"1019 BROUGHTON ST, VANCOUVER, BC"
261,Langara College Gymnasium and Lockers,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,"100 W 49TH AVE, VANCOUVER, BC"
263,Vancouver Racquets Club,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,"4867 ONTARIO ST, VANCOUVER, BC"
265,Vancouver Lawn Tennis & Badminton Club,Aquatics,25m pool with or without other pools,Both,Private,,"1630 W 15TH AVE, VANCOUVER, BC"
269,Tennis British Columbia,Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Private,,"112 E 3RD AVE, VANCOUVER, BC"
270,Jericho Tennis Club,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Private,,"3837 POINT GREY RD, VANCOUVER, BC"
272,South Vancouver Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"6470 VICTORIA DR, VANCOUVER, BC"
273,Russian Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"2114 W 4TH AVE, VANCOUVER, BC"
274,Kiwassa Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"2425 OXFORD ST, VANCOUVER, BC"
275,Peretz Centre for Secular Jewish Culture,Leisure / Community Centres,General,Indoor,Public,,"6184 ASH ST, VANCOUVER, BC"
276,OAC Hall,Leisure / Community Centres,General,Indoor,Public,,"5350 BAILLIE ST, VANCOUVER, BC"
277,Slocan Community Hall,Leisure / Community Centres,General,Indoor,Public,1,"2750 E 29TH AVE, VANCOUVER, BC"
278,Vancouver Curling Club,Ice,Curling,Indoor,Public,1,"4575 CLANCY LORANGER WAY, VANCOUVER, BC"
279,Vancouver Family Connections,Leisure / Community Centres,General,Indoor,Public,,"2425 OXFORD ST, VANCOUVER, BC"
280,Polish Community Centre,Leisure / Community Centres,General,Indoor,Public,,"4015 FRASER ST, VANCOUVER, BC"
281,Korean Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1320 E HASTINGS ST, VANCOUVER, BC"
282,Marpole Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"8585 HUDSON ST, VANCOUVER, BC"
283,Downtown Eastside Women's Centre,Leisure / Community Centres,General,Indoor,Public,,"302 COLUMBIA ST, VANCOUVER, BC"
284,South Hill Neighbourhood Centre,Leisure / Community Centres,General,Indoor,Public,,"5888 FRASER ST, VANCOUVER, BC"
285,West End Rink,Ice,Single surface,Indoor,Public,,"1750 HARO ST, VANCOUVER, BC"
286,Cloverdale Curling Rink,Ice,Curling,Indoor,Public,,"6150 176 STREET, SURREY, BC"
287,South Surrey Indoor Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"14655 17 AVE, SURREY, BC"
290,Bridgeview Community Centre,Leisure / Community Centres,General,Both,Public,,"11475 126A ST, SURREY, BC"
292,Newton Recreation Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"13730 72 AVE, SURREY, BC"
296,Grandview Heights Aquatic Centre,Aquatics,50m+ pool with or without other pools,Indoor,Public,,"16855 24 AVE, SURREY, BC"
299,Surrey Sport & Leisure Complex,Aquatics,50m+ pool with or without other pools,Indoor,Public,,"16555 FRASER HWY #100, SURREY, BC"
304,Guildford Recreation Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"15105 105 AVE, SURREY, BC"
308,Newton Arena,Ice,Single surface,Indoor,Public,,"7120 136B ST, SURREY, BC"
309,South Surrey Arena,Ice,Single surface,Indoor,Public,,"2199 148 ST, SURREY, BC"
310,Excellent Ice,Ice,2+ surfaces,Indoor,Public,1,"15000 54A AVE, SURREY, BC"
311,Cloverdale Skating Club,Ice,Single surface,Indoor,Public,1,"6090 176 ST, SURREY, BC"
312,North Surrey Sport & Ice Complex,Ice,2+ surfaces,Indoor,Public,,"10950 126A ST, SURREY, BC"
314,South Surrey Recreation and Arts Centre,Leisure / Community Centres,General,Indoor,Public,,"14601 20 AVE, SURREY, BC"
317,Fraser Heights Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"10588 160 ST, SURREY, BC"
320,Chuck Bailey Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"13458 107A AVE, SURREY, BC"
324,Cloverdale Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"6188 176 ST, SURREY, BC"
327,Don Christian Recreation Centre,Leisure / Community Centres,General,Indoor,Public,,"6220 184 ST, SURREY, BC"
328,Fleetwood Community Centre,Leisure / Community Centres,General,Indoor,Public,,"15996 84 AVE, SURREY, BC"
331,Kensington Prairie Community Centre,Leisure / Community Centres,Youth,Indoor,Public,,"16824 32 AVE, SURREY, BC"
333,Clayton Hall,Leisure / Community Centres,General,Indoor,Public,,"18513 70 AVE, SURREY, BC"
334,The Tennis Centre,Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Public,,"5891 144 ST, SURREY, BC"
336,Sullivan's Community Hall,Leisure / Community Centres,General,Indoor,Public,,"6306 152 ST, SURREY, BC"
337,Sunnyside Community Hall,Leisure / Community Centres,General,Indoor,Public,,"1845 154 ST, SURREY, BC"
338,Newton Youth Hub,Leisure / Community Centres,Youth,Indoor,Public,,"13479 76 AVE #114, SURREY, BC"
339,Kennedy Community Hall,Leisure / Community Centres,General,Indoor,Public,,"8870 120 ST, SURREY, BC"
340,Canlan Ice Sports/Scotia Barn,Ice,2+ surfaces,Indoor,Private,,"6501 SPROTT ST, BURNABY, BC"
342,Kensington Park Rink,Ice,Single surface,Indoor,Public,,"6159 CURTIS ST, BURNABY, BC"
343,Bill Copeland Sports Centre,Ice,2+ surfaces,Indoor,Private,,"3676 KENSINGTON AVE, BURNABY, BC"
344,Burnaby Lake Arena,Ice,Single surface,Indoor,Public,,"3676 KENSINGTON AVE; BURNABY, BRITISH COLUMBIA"
345,C.G. Brown Memorial Pool,Aquatics,25m pool with or without other pools,Indoor,Public,,"3702 KENSINGTON AVE, BURNABY, BC"
348,Eileen Dailly Leisure Pool & Fitness Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"240 WILLINGDON AVE, BURNABY, BC"
351,Bonsor Recreation Complex,Aquatics,25m pool with or without other pools,Indoor,Public,,"6550 BONSOR AVE, BURNABY, BC"
356,Confederation Park,Leisure / Community Centres,Seniors,Indoor,Public,,"4709 PANDORA ST, BURNABY, BC"
360,Cameron Recreation Complex,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"9523 CAMERON ST, BURNABY, BC"
364,BCIT Recreation Services,Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,"3700, WILLINGDON AVE, BURNABY, BC"
367,Burnaby Tennis Club,Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Both,,"3890 KENSINGTON AVE, BURNABY, BC"
368,Wesburn Community Centre,Leisure / Community Centres,General,Indoor,Public,,"4781 PARKWOOD AVE, BURNABY, BC"
369,Willingdon Community Centre,Leisure / Community Centres,General,Indoor,Public,,"1491 CARLETON AVE, BURNABY, BC"
372,Confederation Community Centre,Leisure / Community Centres,Seniors,Indoor,Public,,"4585 ALBERT ST, BURNABY, BC"
374,Brentwood Community Resource Centre,Leisure / Community Centres,General,Indoor,Public,,"2055 ROSSER AVE, BURNABY, BC"
375,Edmonds Community Centre,Leisure / Community Centres,General,Indoor,Public,,"7433 EDMONDS ST, BURNABY, BC"
381,Bonsor 55+ Seniors Centre,Leisure / Community Centres,Seniors,Indoor,Public,,"6533 NELSON AVE, BURNABY, BC"
382,Burnaby Community Services,Leisure / Community Centres,General,Indoor,Public,,"2055 ROSSER AVE, BURNABY, BC"
383,Charles Rummel Centre,Leisure / Community Centres,General,Indoor,Public,,"3630 LOZELLS AVE, BURNABY, BC"
384,Scandinavian Community Centre,Leisure / Community Centres,General,Indoor,Public,,"6540 THOMAS ST, BURNABY, BC"
385,Burnaby Winter Club,Ice,2+ surfaces,Indoor,Public,1,"4990 CANADA WAY, BURNABY, BC"
386,Dynamo Swim Club,Aquatics,25m pool with or without other pools,Indoor,Private,,"3702 KENSINGTON AVE, BURNABY, BC"
387,Creekside Youth Centre,Leisure / Community Centres,Youth,Indoor,Public,,"2720 BEAVERBROOK CRESCENT, BURNABY, BC"
390,Greentree Community Centre,Leisure / Community Centres,General,Indoor,Public,1,"4295 GARDEN GROVE DR, BURNABY, BC"
393,Vancouver Madinah,Leisure / Community Centres,General,Indoor,Public,,"5757 BERESFORD ST, BURNABY, BC"
394,South Burnaby Neighbourhood House,Leisure / Community Centres,General,Indoor,Public,,"4460 BERESFORD ST, BURNABY, BC"
395,Richmond Ice Centre,Ice,2+ surfaces,Indoor,Public,,"14140 TRIANGLE RD, RICHMOND, BC"
396,Richmond Curling Centre,Ice,Curling,Indoor,Private,,"5540 HOLLYBRIDGE WAY, RICHMOND, BC"
397,South Arm Community Centre,Leisure / Community Centres,General,Both,Public,,"8880 WILLIAMS RD, RICHMOND, BC"
400,Steveston Community Centre,Leisure / Community Centres,General,Both,Public,,"4111 MONCTON STREET, RICHMOND, BC"
405,City Centre Community Centre,Leisure / Community Centres,General,Indoor,Public,,"5900 MINORU BLVD #105, RICHMOND, BC"
407,Lang Centre,Leisure / Community Centres,General,Indoor,Public,,"8279 SABA RD SUITE 140, RICHMOND, BC"
408,Vancouver International Tennis Academy,Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Private,,"11111 HORSESHOE WAY, RICHMOND, BC"
413,Richmond Tennis Club,Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Both,,"6820 GILBERT RD, RICHMOND, BC"
414,Minoru Aquatic Centre,Aquatics,25m pool with or without other pools,Indoor,Public,,"7560 MINORU GATE, RICHMOND, BC"
417,Minoru Centre for Active Living,Leisure / Community Centres,Seniors,Indoor,Public,,"7191 GRANVILLE AVE, RICHMOND, BC"
419,Minoru Arenas,Ice,2+ surfaces,Indoor,Public,,"7551 MINORU GATE, RICHMOND, BC"
420,Thompson Community Centre,Leisure / Community Centres,General,Indoor,Public,,"5151 GRANVILLE AVE, RICHMOND, BC"
423,Cambie Community Centre,Leisure / Community Centres,General,Indoor,Public,,"12800 CAMBIE RD, RICHMOND, BC"
426,Hamilton Community Centre,Leisure / Community Centres,General,Indoor,Public,,"5140 SMITH DR, RICHMOND, BC"
428,Shia Muslim Community Centre,Leisure / Community Centres,General,Indoor,Public,,"8580 NO 5 RD, RICHMOND, BC"
429,Richmond Olympic Oval,Ice,2+ surfaces,Indoor,Public,,"6111 RIVER RD, RICHMOND, BC"
434,Watermania,Aquatics,50m+ pool with or without other pools,Indoor,Public,,"14300 ENTERTAINMENT BLVD, RICHMOND, BC"
438,Marina's Swim School ,Aquatics,25m pool with or without other pools,Indoor,Public,1,"1751 SAVAGE RD, RICHMOND, BC"
439,West Richmond Community Centre,Leisure / Community Centres,General,Indoor,Public,,"9180 NO 1 RD, RICHMOND, BC"
443,Sea Island Community Centre,Leisure / Community Centres,General,Indoor,Public,,"7140 MILLER RD, RICHMOND, BC"
445,Badminton Vancouver,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,1,"110-13100 MITCHELL RD, RICHMOND, BC"
446,Stage 18 Badminton Centre,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,1,"2351 NO 6 RD #170, RICHMOND, BC"
447,Richmond Pro Badminton Centre,Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Private,,"5800 MINORU BLVD #130, RICHMOND, BC"
448,Poirier Sport & Leisure Complex,Ice,Single surface,Indoor,Public,,"633 POIRIER ST, COQUITLAM, BC"
453,Smiling Creek Activity Centre,Leisure / Community Centres,General,Indoor,Public,,"3456 PRINCETON AVE, COQUITLAM, BC"
455,City Centre Aquatic Complex,Aquatics,50m+ pool with or without other pools,Indoor,Public,,"1210 PINETREE WAY, COQUITLAM, BC"
459,Planet Ice ,Ice,2+ surfaces,Indoor,Public,,"2300 ROCKET WAY, COQUITLAM, BC"
461,Centennial Activity Centre,Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,"578 POIRIER ST, COQUITLAM, BC"
