CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Comments/Notes,Address Comments/Notes
,,West End Community Centre,https://westendcc.ca/?utm_source=google&utm_medium=organic&utm_term=snippet&utm_campaign=search,"870 Denman St, Vancouver, BC V6G 2L8",Ice,Single surface,Indoor,Public,870,Denman Street,,Vancouver,BC,V6G 2L8,,,"ice rink, children, youth and adult programds, fitness",
,,West End Community Centre,https://westendcc.ca/?utm_source=google&utm_medium=organic&utm_term=snippet&utm_campaign=search,"870 Denman St, Vancouver, BC V6G 2L8",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,870,Denman Street,,Vancouver,BC,V6G 2L8,,,,
,,West Point Grey Community Centre,http://westpointgrey.org/program-facility/,"4397 W 2nd Ave, Vancouver, BC V6R 1K4",Leisure / Community Centres,General,Indoor,Public,4397,W 2nd Avenue,,Vancouver,BC,V6R 1K4,,,"community centre with programs for children, youth, adults and seniors, gym, fitness",
,,West Point Grey Community Centre,http://westpointgrey.org/program-facility/,"4397 W 2nd Ave, Vancouver, BC V6R 1K4",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,4397,W 2nd Avenue,,Vancouver,BC,V6R 1K4,,,"community centre with programs for children, youth, adults and seniors, gym, fitness",
,,West Point Grey Community Centre,http://westpointgrey.org/program-facility/,"4397 W 2nd Ave, Vancouver, BC V6R 1K4",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,4397,W 2nd Avenue,,Vancouver,BC,V6R 1K4,,,"community centre with programs for children, youth, adults and seniors, gym, fitness",
,,Lord Byng Pool,https://vancouver.ca/parks-recreation-culture/lord-byng-pool.aspx,"3990 W 14th Ave, Vancouver, BC V6R 4H2",Aquatics,25m pool with or without other pools,Indoor,Public,3990,W 14th Avenue,,Vancouver,BC,V6R 4H2,,,wheelchair-accessible indoor pool,
,,False Creek Community Centre,https://falsecreekcc.ca/,"1318 Cartwright St, Vancouver, BC V6H 3R8",Leisure / Community Centres,General,Both,Public,1318,Cartwright Street,,Vancouver,BC,V6H 3R8,,,"community centre with programs for children, youth, adults and seniors, fitness, tennis, sports, water park",
,,False Creek Community Centre,https://falsecreekcc.ca/,"1318 Cartwright St, Vancouver, BC V6H 3R8",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1318,Cartwright Street,,Vancouver,BC,V6H 3R8,,,"community centre with programs for children, youth, adults and seniors, fitness, tennis, sports, water park",
,,Roundhouse Community Arts & Recreation Centre,http://roundhouse.ca/,"181 Roundhouse Mews, Vancouver, BC V6Z 2W3",Leisure / Community Centres,General,Both,Public,181,Roundhouse Mews,,Vancouver,BC,V6Z 2W3,,,"community centre with programs for children, youth, adults and 'older adults', fitness",
,,Roundhouse Community Arts & Recreation Centre,http://roundhouse.ca/,"181 Roundhouse Mews, Vancouver, BC V6Z 2W3",Physical Recreation & Sports,Fitness centres / areas ,Both,Public,181,Roundhouse Mews,,Vancouver,BC,V6Z 2W3,,,"community centre with programs for children, youth, adults and 'older adults', fitness",
,,Coal Harbour Community Centre,https://westendcc.ca/coal-harbour/,"480 Broughton St, Vancouver, BC V6G 3H4",Leisure / Community Centres,General,Both,Public,480,Broughton Street,,Vancouver,BC,V6G 3H4,,,"community centre with programs for children and adults, badminton/pickleball, indoor soccer , fitness",
,,Coal Harbour Community Centre,https://westendcc.ca/coal-harbour/,"480 Broughton St, Vancouver, BC V6G 3H4",Physical Recreation & Sports,Sport fields,Indoor,Public,480,Broughton Street,,Vancouver,BC,V6G 3H4,,,"community centre with programs for children and adults, badminton/pickleball, indoor soccer , fitness",
,,Coal Harbour Community Centre,https://westendcc.ca/coal-harbour/,"480 Broughton St, Vancouver, BC V6G 3H4",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,480,Broughton Street,,Vancouver,BC,V6G 3H4,,,"community centre with programs for children and adults, badminton/pickleball, indoor soccer , fitness",
,,Dunbar Community Centre,https://vancouver.ca/parks-recreation-culture/dunbar-community-centre.aspx,"4747 Dunbar St, Vancouver, BC V6S 2H2",Leisure / Community Centres,General,Both,Public,4747,Dunbar Street,,Vancouver,BC,V6S 2H2,,,"community centre, badminton/squash, sports, fitness, playground, tennis",
,,Dunbar Community Centre,https://vancouver.ca/parks-recreation-culture/dunbar-community-centre.aspx,"4747 Dunbar St, Vancouver, BC V6S 2H2",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,4747,Dunbar Street,,Vancouver,BC,V6S 2H2,,,"community centre, badminton/squash, sports, fitness, playground, tennis",
,,Dunbar Community Centre,https://vancouver.ca/parks-recreation-culture/dunbar-community-centre.aspx,"4747 Dunbar St, Vancouver, BC V6S 2H2",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,4747,Dunbar Street,,Vancouver,BC,V6S 2H2,,,"community centre, badminton/squash, sports, fitness, playground, tennis",
,,Hastings Community Centre,https://vancouver.ca/parks-recreation-culture/hastings-community-centre.aspx,"3096 E Hastings St, Vancouver, BC V5K 2A3",Leisure / Community Centres,General,Both,Public,3096,E Hastings Street,,Vancouver,BC,V5K 2A3,,,"community centre, gym, fitness, racquetball, tennis, playground, water park",
,,Hastings Community Centre,https://vancouver.ca/parks-recreation-culture/hastings-community-centre.aspx,"3096 E Hastings St, Vancouver, BC V5K 2A3",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,3096,E Hastings Street,,Vancouver,BC,V5K 2A3,,,"community centre, gym, fitness, racquetball, tennis, playground, water park",
