CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Comments/Notes,Address Comments/Notes
,,Ray-Cam Co-Operative Center,http://raycam.org/,"920 E Hastings St, Vancouver, BC V6A 3T1",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,920,E Hastings Street,,Vancouver,BC,V6A 3T1,,,"community centre for children, youth, adults and seniors, gym, fitness",
,,Ray-Cam Co-Operative Center,http://raycam.org/,"920 E Hastings St, Vancouver, BC V6A 3T1",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,920,E Hastings Street,,Vancouver,BC,V6A 3T1,,,"community centre for children, youth, adults and seniors, gym, fitness",
,,Templeton Park Pool,https://vancouver.ca/parks-recreation-culture/templeton-pool.aspx,"700 Templeton Dr, Vancouver, BC V5L 4N8",Aquatics,25m pool with or without other pools,Indoor,Public,700,Templeton Drive,,Vancouver,BC,V5L 4N8,,,,
,,Vancouver Aquatic Centre,https://vancouver.ca/parks-recreation-culture/vancouver-aquatic-centre.aspx/,"1050 Beach Ave, Vancouver, BC V6E 1T7",Aquatics,50m+ pool with or without other pools,Indoor,Public,1050,Beach Avenue,,Vancouver,BC,V6E 1T7,,,,
,,Connaught Park,https://covapp.vancouver.ca/parkfinder/parkdetail.aspx?inparkid=108,"2390 W 10th Ave, Vancouver, BC V6K 4K9",Leisure / Community Centres,General,Both,Public,2390,W 10th Avenue ,,Vancouver,BC,V6K 4K9,,,"community centre, sports fields, playgrounds, ice rink (in Kitsilano Community Centre), water park",
,,Kitsilano Community Centre,https://kitscc.com/,"2690 Larch St, Vancouver, BC V6K 4K9",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,2690,Larch Street,,Vancouver,BC,V6K 4K9,,,,
,,Kitsilano Community Centre,https://kitscc.com/,"2690 Larch St, Vancouver, BC V6K 4K9",Ice,Single surface,Indoor,Public,2690,Larch Street,,Vancouver,BC,V6K 4K9,,,,
,,Sunset Arena,https://vancouver.ca/parks-recreation-culture/sunset-rink.aspx,"390 E 51st Ave, Vancouver, BC V5X 1C5",Ice,Single surface,Indoor,Public,390,E 51st Avenue,,Vancouver,BC,V5X 1C5,,,,
,,Kerrisdale Cyclone Taylor Arena,https://vancouver.ca/parks-recreation-culture/kerrisdale-cyclone-taylor-arena.aspx,"5670 East Blvd, Vancouver, BC V6M 3V2",Ice,Single surface,Indoor,Public,5670,East Boulevard,,Vancouver,BC,V6M 3V2,,,"ice rink from September to March, indoor playground from April to August",
,,Kerrisdale Cyclone Taylor Arena,https://vancouver.ca/parks-recreation-culture/kerrisdale-cyclone-taylor-arena.aspx,"5670 East Blvd, Vancouver, BC V6M 3V2",Physical Recreation & Sports,Playgrounds ,Indoor,Public,5670,East Boulevard,,Vancouver,BC,V6M 3V2,,,"ice rink from September to March, indoor playground from April to August",
,,UBC Tennis Centre,https://sportfacilities.ubc.ca/tennis-centre/,"6160 Thunderbird Blvd, Vancouver, BC V6T 1W5",Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Public,6160,Thunderbird Boulevard,,Vancouver,BC,V6T 1W5,,,,
,,The Arbutus Club,https://www.arbutusclub.com/,"2001 Nanton Ave, Vancouver, BC V6J 4A1",Aquatics,25m pool with or without other pools,Indoor,Private,2001,Nanton Avenue,,Vancouver,BC,V6J 4A1,,,"aquatics, fitness, racquetball, tennis, ice rink",
,,The Arbutus Club,https://www.arbutusclub.com/,"2001 Nanton Ave, Vancouver, BC V6J 4A1",Aquatics,Leisure / wading pools,Indoor,Private,2001,Nanton Avenue,,Vancouver,BC,V6J 4A1,,,"aquatics, fitness, racquetball, tennis, ice rink",
,,The Arbutus Club,https://www.arbutusclub.com/,"2001 Nanton Ave, Vancouver, BC V6J 4A1",Ice,Single surface,Indoor,Private,2001,Nanton Avenue,,Vancouver,BC,V6J 4A1,,,"aquatics, fitness, racquetball, tennis, ice rink",
,,The Arbutus Club,https://www.arbutusclub.com/,"2001 Nanton Ave, Vancouver, BC V6J 4A1",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Private,2001,Nanton Avenue,,Vancouver,BC,V6J 4A1,,,"aquatics, fitness, racquetball, tennis, ice rink",
,,The Arbutus Club,https://www.arbutusclub.com/,"2001 Nanton Ave, Vancouver, BC V6J 4A1",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,2001,Nanton Avenue,,Vancouver,BC,V6J 4A1,,,"aquatics, fitness, racquetball, tennis, ice rink",
,,The Arbutus Club,https://www.arbutusclub.com/,"2001 Nanton Ave, Vancouver, BC V6J 4A1",Physical Recreation & Sports,Gymnasiums ,Indoor,Private,,,,,,,,,,
,,The Arbutus Club,https://www.arbutusclub.com/,"2001 Nanton Ave, Vancouver, BC V6J 4A1",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Private,2001,Nanton Avenue,,Vancouver,BC,V6J 4A1,,,"aquatics, fitness, racquetball, tennis, ice rink",
,,Stan Stronge Pool,https://find.healthlinkbc.ca/ResourceView2.aspx?org=53965&agencynum=59023278,"719 W 59th Ave, Vancouver, BC V6P 6M7",Aquatics,25m pool with or without other pools,Indoor,Public,719,W 59th Avenue,,Vancouver,BC,V6P 6M7,,,website is not functional - seems to be a therapy pool,
,,Aquatics at the JCCGV,https://www.jccgv.com/aquatics/,"950 W 41st Ave, Vancouver, BC V5Z 2N7",Aquatics,25m pool with or without other pools,Indoor,Public,950,W 41st Avenue,,Vancouver,BC,V5Z 2N7,,,"community centre, pool, fitness, gym",
,,Jewish Community Centre of Greater Vancouver,https://www.jccgv.com/,"950 W 41st Ave, Vancouver, BC V5Z 2N7",Leisure / Community Centres,General,Indoor,Public,950,W 41st Avenue,,Vancouver,BC,V5Z 2N7,,,"community centre, pool, fitness, gym",
,,Jewish Community Centre of Greater Vancouver,https://www.jccgv.com/,"950 W 41st Ave, Vancouver, BC V5Z 2N7",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,950,W 41st Avenue,,Vancouver,BC,V5Z 2N7,,,"community centre, pool, fitness, gym",
,,Jewish Community Centre of Greater Vancouver,https://www.jccgv.com/,"950 W 41st Ave, Vancouver, BC V5Z 2N7",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,950,W 41st Avenue,,Vancouver,BC,V5Z 2N7,,,"community centre, pool, fitness, gym",
,,Aquaventures Swim Centre,https://www.aquaventuresswim.com/,"1630 W 5th Ave, Vancouver, BC V6J 1N8",Aquatics,25m pool with or without other pools,Indoor,Public,1630,W 5th Avenue ,,Vancouver,BC,V6J 1N8,,,,
,,Kerr Pool at St. George's School,https://www.lifesaving.bc.ca/facility/st-georges-school-kerr-pool,"4175 W 29th Ave, Vancouver, BC V6S 1V1",Aquatics,25m pool with or without other pools,Indoor,Private,4175,W 29th Avenue,,Vancouver,BC,V6S 1V1,,,pool at boys school,
,,UBC Aquatic Centre,https://recreation.ubc.ca/aquatics/,"6080 Student Union Blvd, Vancouver, BC V6T 1Z1",Aquatics,25m pool with or without other pools,Indoor,Public,6080,Student Union Boulevard,,Vancouver,BC,V6T 1Z1,,,,
,,YWCA Health + Fitness Centre,https://ywcavan.org/fitness,"535 Hornby St, Vancouver, BC V6C 2E8",Aquatics,25m pool with or without other pools,Indoor,Public,535,Hornby Street,,Vancouver,BC,V6C 2E8,,,pool/fitness/racquet courts,
,,YWCA Health + Fitness Centre,https://ywcavan.org/fitness,"535 Hornby St, Vancouver, BC V6C 2E8",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,535,Hornby Street,,Vancouver,BC,V6C 2E8,,,pool/fitness/racquet courts,
,,YWCA Health + Fitness Centre,https://ywcavan.org/fitness,"535 Hornby St, Vancouver, BC V6C 2E8",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,535,Hornby Street,,Vancouver,BC,V6C 2E8,,,pool/fitness/racquet courts,
,,Robert Lee YMCA,https://gv.ymca.ca/Locations/Area-One/Downtown/Robert-Lee-YMCA,"955 Burrard St, Vancouver, BC V6Z 1Y2",Aquatics,25m pool with or without other pools,Indoor,Public,955,Burrard Street,,Vancouver,BC,V6Z 1Y2,,,"pool, fitness, racquet courts, gym",
,,Robert Lee YMCA,https://gv.ymca.ca/Locations/Area-One/Downtown/Robert-Lee-YMCA,"955 Burrard St, Vancouver, BC V6Z 1Y2",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,955,Burrard Street,,Vancouver,BC,V6Z 1Y2,,,"pool, fitness, racquet courts, gym",
,,Robert Lee YMCA,https://gv.ymca.ca/Locations/Area-One/Downtown/Robert-Lee-YMCA,"955 Burrard St, Vancouver, BC V6Z 1Y2",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,955,Burrard Street,,Vancouver,BC,V6Z 1Y2,,,"pool, fitness, racquet courts, gym",
,,Robert Lee YMCA,https://gv.ymca.ca/Locations/Area-One/Downtown/Robert-Lee-YMCA,"955 Burrard St, Vancouver, BC V6Z 1Y2",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,955,Burrard Street,,Vancouver,BC,V6Z 1Y2,,,"pool, fitness, racquet courts, gym",
,,Propel Swimming Lessons,https://www.propelhq.com/,"1234 Hornby St, Vancouver, BC V6Z 1W2",Aquatics,25m pool with or without other pools,Indoor,Private,1234,Hornby Street,,Vancouver,BC,V6Z 1W2,,,private swimming lessons at the Residence Inn by Marriott,
,,Swim Lessons Vancouver,https://www.swimlessonsvancouver.ca/,"1088 Burrard St, Vancouver, BC V6Z 2R9",Aquatics,25m pool with or without other pools,Indoor,Private,1088,Burrard Street,,Vancouver,BC,V6Z 2R9,,,private swimming lessons at the Sheraton Wall Centre Hotel Swim Pool,
,,Roadhouse Community Arts & Recreation Centre,http://roundhouse.ca/,"181 Roundhouse Mews, Vancouver, BC V6Z 2W3",Leisure / Community Centres,General,Indoor,Public,181,Roundhouse Mews,,Vancouver,BC,V6Z 2W3,,,"programs for children, youth, adults and seniors",
,,UBC Student Recreation Centre,https://recreation.ubc.ca/,"6000 Student Union Blvd, Vancouver, BC V6T 1Z1",Ice,Single surface,Indoor,Private,6000,Student Union Boulevard,,Vancouver,BC,V6T 1Z1,,,ice rink/fitness/tennis,
,,UBC Student Recreation Centre,https://recreation.ubc.ca/,"6000 Student Union Blvd, Vancouver, BC V6T 1Z1",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,6000,Student Union Boulevard,,Vancouver,BC,V6T 1Z1,,,ice rink/fitness/tennis,
,,UBC Student Recreation Centre,https://recreation.ubc.ca/,"6000 Student Union Blvd, Vancouver, BC V6T 1Z1",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Private,6000,Student Union Boulevard,,Vancouver,BC,V6T 1Z1,,,ice rink/fitness/tennis,
,,Old Barn Community Centre,http://www.discoverwesbrook.com/posts/the-old-barn-community-centre#.XiIJSCiJJdg,"6308 Thunderbird Blvd, Vancouver, BC V6T 1Z4",Leisure / Community Centres,General,Indoor,Private,6308,Thunderbird Boulevard,,Vancouver,BC,V6T 1Z4,,,"minimal information on website - unsure of programs, on UBC campus",
,,Old Barn Community Centre,http://www.discoverwesbrook.com/posts/the-old-barn-community-centre#.XiIJSCiJJdg,"6308 Thunderbird Blvd, Vancouver, BC V6T 1Z4",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,,,,,,,,,,
,,Westbrook Community Centre,http://www.discoverwesbrook.com/posts/wesbrook-community-centre#.XiIJaSiJJdg,"3335 Webber Ln, Vancouver, BC V6S 0H3",Leisure / Community Centres,General,Indoor,Public,3335,Webber Lane,,Vancouver,BC,V6S 0H3,,,"community centre, fitness, splash pad",
,,Westbrook Community Centre,http://www.discoverwesbrook.com/posts/wesbrook-community-centre#.XiIJaSiJJdg,"3335 Webber Ln, Vancouver, BC V6S 0H3",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,3335,Webber Lane,,Vancouver,BC,V6S 0H3,,,"community centre, fitness, splash pad",
,,Westbrook Community Centre,http://www.discoverwesbrook.com/posts/wesbrook-community-centre#.XiIJaSiJJdg,"3335 Webber Ln, Vancouver, BC V6S 0H3",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,
,,Langara Family YMCA,https://gv.ymca.ca/Locations/Area-One/Langara/Langara-Family-YMCA,"282 W 49th Ave, Vancouver, BC V5Y 2Z5",Aquatics,25m pool with or without other pools,Indoor,Public,282,W 49th Avenue ,,Vancouver,BC,V5Y 2Z5,,,"pool, fitness, gym",
,,Langara Family YMCA,https://gv.ymca.ca/Locations/Area-One/Langara/Langara-Family-YMCA,"282 W 49th Ave, Vancouver, BC V5Y 2Z5",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,282,W 49th Avenue ,,Vancouver,BC,V5Y 2Z5,,,"pool, fitness, gym",
,,Langara Family YMCA,https://gv.ymca.ca/Locations/Area-One/Langara/Langara-Family-YMCA,"282 W 49th Ave, Vancouver, BC V5Y 2Z5",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,282,W 49th Avenue ,,Vancouver,BC,V5Y 2Z5,,,"pool, fitness, gym",
,,Barclay Manor,https://westendcc.ca/barclay-manor/,"1447 Barclay St, Vancouver, BC V6G 1J6",Leisure / Community Centres,Seniors,Indoor,Public,1447,Barclay Street,,Vancouver,BC,V6G 1J6,,,senior's centre with fitness classes,
,,Barclay Manor,https://westendcc.ca/barclay-manor/,"1447 Barclay St, Vancouver, BC V6G 1J6",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,1447,Barclay Street,,Vancouver,BC,V6G 1J6,,,senior's centre with fitness classes,
,,Collingwood Neighbourhood House,https://www.cnh.bc.ca/,"5288 Joyce St, Vancouver, BC V5R 6C9",Leisure / Community Centres,General,Indoor,Public,5288,Joyce Street,,Vancouver,BC,V5R 6C9,,,"programs for children, youth, adults and seniors",
,,Downtown Eastside Neighbourhood House,https://dtesnhouse.ca/,"573 E Hastings St, Vancouver, BC V6A 1P9",Leisure / Community Centres,General,Indoor,Public,573,E Hastings Street,,Vancouver,BC,V6A 1P9,,,,
,,Ajyal Islamic Centre,http://www.ajyal.ca/,"181 Keefer Pl, Vancouver, BC V6B 6C1",Leisure / Community Centres,General,Indoor,Public,181,Keefer Place,202,Vancouver,BC,V6B 6C1,,,islamic community centre,
,,Gordon Neighbourhood House,https://gordonhouse.org/,"1019 Broughton St, Vancouver, BC V6G 2A7",Leisure / Community Centres,General,Indoor,Public,1019,Broughton Street,,Vancouver,BC,V6G 2A7,,,"programs for families, youth and seniors",
,,Langara College Gymnasium and Lockers,https://langara.ca/campus-facilities/gym-and-lockers/index.html,"100 W 49th Ave, Vancouver, BC V5Y 2Z6",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,100,W 49th Avenue ,,Vancouver,BC,V5Y 2Z6,,,"gymnasium, badminton",
,,Langara College Gymnasium and Lockers,https://langara.ca/campus-facilities/gym-and-lockers/index.html,"100 W 49th Ave, Vancouver, BC V5Y 2Z6",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,100,W 49th Avenue ,,Vancouver,BC,V5Y 2Z6,,,"gymnasium, badminton",
,,Vancouver Racquets Club,https://vrc.bc.ca/facilities,"4867 Ontario St, Vancouver, BC V5V 3H4",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,4867,Ontario Street,,Vancouver,BC,V5V 3H4,,,"squash, badminton, fitness",
,,Vancouver Racquets Club,https://vrc.bc.ca/facilities,"4867 Ontario St, Vancouver, BC V5V 3H4",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,4867,Ontario Street,,Vancouver,BC,V5V 3H4,,,"squash, badminton, fitness",
,,Vancouver Lawn Tennis & Badminton Club,https://www.vanlawn.com/default.aspx?p=DynamicModule&pageid=354597&ssid=261054&vnf=1,"1630 W 15th Ave, Vancouver, BC V6J 2K7",Aquatics,25m pool with or without other pools,Both,Private,1630,W 15th Avenue,,Vancouver,BC,V6J 2K7,,,"indoor/outdoor pool, tennis, badminton, fitness",
,,Vancouver Lawn Tennis & Badminton Club,https://www.vanlawn.com/default.aspx?p=DynamicModule&pageid=354597&ssid=261054&vnf=1,"1630 W 15th Ave, Vancouver, BC V6J 2K7",Physical Recreation & Sports,Tennis and/or pickleball courts ,Both,Private,1630,W 15th Avenue,,Vancouver,BC,V6J 2K7,,,"indoor/outdoor pool, tennis, badminton, fitness",
,,Vancouver Lawn Tennis & Badminton Club,https://www.vanlawn.com/default.aspx?p=DynamicModule&pageid=354597&ssid=261054&vnf=1,"1630 W 15th Ave, Vancouver, BC V6J 2K7",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Both,Private,1630,W 15th Avenue,,Vancouver,BC,V6J 2K7,,,"indoor/outdoor pool, tennis, badminton, fitness",
,,Vancouver Lawn Tennis & Badminton Club,https://www.vanlawn.com/default.aspx?p=DynamicModule&pageid=354597&ssid=261054&vnf=1,"1630 W 15th Ave, Vancouver, BC V6J 2K7",Physical Recreation & Sports,Fitness centres / areas ,Both,Private,1630,W 15th Avenue,,Vancouver,BC,V6J 2K7,,,"indoor/outdoor pool, tennis, badminton, fitness",
,,Tennis British Columbia,http://www.tennisbc.org/,"112 E 3rd Ave, Vancouver, BC V5T 1C8",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Private,112,E 3rd Avenue,,Vancouver,BC,V5T 1C8,,,,
,,Jericho Tennis Club,https://jerichotennisclub.com/,"3837 Point Grey Rd, Vancouver, BC V6R 1B3",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Private,3837,Point Grey Road,,Vancouver,BC,V6R 1B3,,,"tennis, racquet courts, fitness, outdoor pool",
,,Jericho Tennis Club,https://jerichotennisclub.com/,"3837 Point Grey Rd, Vancouver, BC V6R 1B3",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Private,3837,Point Grey Road,,Vancouver,BC,V6R 1B3,,,"tennis, racquet courts, fitness, outdoor pool",
,,South Vancouver Neighbourhood House,http://www.southvan.org/,"6470 Victoria Dr, Vancouver, BC V5P 3X7",Leisure / Community Centres,General,Indoor,Public,6470,Victoria Drive,,Vancouver,BC,V5P 3X7,,,,
,,Russian Community Centre,http://www.russiancentrevancouver.com/,"2114 W 4th Ave, Vancouver, BC V6K 4R8",Leisure / Community Centres,General,Indoor,Public,2114,W 4th Avenue ,,Vancouver,BC,V6K 4R8,,,for people interested in Russian culture,
,,Kiwassa Neighbourhood House,https://www.kiwassa.ca/,"2425 Oxford St, Vancouver, BC V5K 1M7",Leisure / Community Centres,General,Indoor,Public,2425,Oxford Street,,Vancouver,BC,V5K 1M7,,,,
,,Peretz Centre for Secular Jewish Culture,https://peretz-centre.org/,"6184 Ash St, Vancouver, BC V5Z 3G9",Leisure / Community Centres,General,Indoor,Public,6184,Ash Street,,Vancouver,BC,V5Z 3G9,,,for Jewish culture,
,,OAC Hall,https://www.google.ca/search?source=hp&ei=g_YlXs2oEJK5tQbO_7CwCA&q=oac+hall&oq=oac+hall&gs_l=psy-ab.3..0j0i22i30l3j0i22i10i30.2604.3789..4286...0.0..0.173.851.4j4......0....1..gws-wiz.......0i131j0i10.x7D3mYr4B58&ved=0ahUKEwiN9vGl7JLnAhWSXM0KHc4_DIYQ4dUDCAg&uact=5,"5350 Baillie St, Vancouver, BC V5Z 3M5",Leisure / Community Centres,General,Indoor,Public,5350,Baillie Street,,Vancouver,BC,V5Z 3M5,,,no website,
,,Slocan Community Hall,https://www.renfrewcc.com/facilities/rentals/#slocan-hall,"2750 E 29th Ave, Vancouver, BC V5R 1V5",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,Vancouver Curling Club,https://vancurl.com/about,"4575 Clancy Loranger Way, Vancouver, BC V5Y 2M4",Ice,Curling,Indoor,Public,,,,,,,,,,
,,Vancouver Family Connections,https://www.vancouverfamilyconnections.org/,"2425 Oxford St, Vancouver, BC V5K 1M7",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,Polish Community Centre,http://polishsocietyvancouver.ca/,"4015 Fraser St, Vancouver, BC V5V 4E6",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,Korean Community Centre,http://www.eastvillagevancouver.ca/business/korean-community-centre/,"1320 E Hastings St, Vancouver, BC V5L 1S3",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,Marpole Neighbourhood House,http://www.marpolenh.org/,"8585 Hudson St, Vancouver, BC  V6P 4M3",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,Downtown Eastside Women's Centre,http://dewc.ca/,"302 Columbia St, Vancouver, BC V6A 4J1",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,South Hill Neighbourhood Centre,http://www.southvan.org/calendars/,"5888 Fraser St, Vancouver, BC V5W 2Z5",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,
,,West End Rink,https://vancouver.ca/parks-recreation-culture/west-end-rink.aspx,"1750 Haro St, Vancouver, BC V6G 1K6",Ice,Single surface,Indoor,Public,,,,,,,,,,
,Surrey,Cloverdale Curling Rink,https://www.cloverdalecurlingclub.ca/,"6150 176 Street, Surrey, BC V3S 4E7",Ice,Curling,Indoor,Public,6150,176 Street,,Surrey,BC,V3S 4E7,,,,
,,South Surrey Indoor Pool,https://www.surrey.ca/culture-recreation/1755.aspx,"14655 17 Ave, Surrey, BC V4A 5M2",Aquatics,25m pool with or without other pools,Indoor,Public,14655,17 Avenue,,Surrey,BC,V4A 5M2,,,pool and fitness,
,,South Surrey Indoor Pool,https://www.surrey.ca/culture-recreation/1755.aspx,"14655 17 Ave, Surrey, BC V4A 5M2",Aquatics,Leisure / wading pools,Indoor,Public,14655,17 Avenue,,Surrey,BC,V4A 5M2,,,pool and fitness,
,,South Surrey Indoor Pool,https://www.surrey.ca/culture-recreation/1755.aspx,"14655 17 Ave, Surrey, BC V4A 5M2",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,14655,17 Avenue,,Surrey,BC,V4A 5M2,,,pool and fitness,
,,Bridgeview Community Centre,https://www.surrey.ca/culture-recreation/11534.aspx,"11475 126a St, Surrey, BC V3V 5G8",Leisure / Community Centres,General,Both,Public,11475,126a Street,,Surrey,BC,V3V 5G8,,,"community centre, gym, fitness, tennis, sports fields, water park, playground",
,,Bridgeview Community Centre,https://www.surrey.ca/culture-recreation/11534.aspx,"11475 126a St, Surrey, BC V3V 5G8",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,11475,126a Street,,Surrey,BC,V3V 5G8,,,"community centre, gym, fitness, tennis, sports fields, water park, playground",
,,Newton Recreation Centre,https://www.surrey.ca/culture-recreation/7325.aspx,"13730 72 Ave, Surrey, BC V3W 2P4",Aquatics,25m pool with or without other pools,Indoor,Public,13730,72 Avenue,,Surrey,BC,V3W 2P4,,,"wave pool, gym, fitness",
,,Newton Recreation Centre,https://www.surrey.ca/culture-recreation/7325.aspx,"13730 72 Ave, Surrey, BC V3W 2P4",Ice,Single surface,Indoor,Public,,,,,,,,,across from the lot from the wave pool,
,,Newton Recreation Centre,https://www.surrey.ca/culture-recreation/7325.aspx,"13730 72 Ave, Surrey, BC V3W 2P4",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,13730,72 Avenue,,Surrey,BC,V3W 2P4,,,"wave pool, gym, fitness",
,,Newton Recreation Centre,https://www.surrey.ca/culture-recreation/7325.aspx,"13730 72 Ave, Surrey, BC V3W 2P4",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,13730,72 Avenue,,Surrey,BC,V3W 2P4,,,"wave pool, gym, fitness",
,,Grandview Heights Aquatic Centre,https://www.surrey.ca/culture-recreation/14315.aspx,"16855 24 Ave, Surrey, BC V3S 0A2",Aquatics,50m+ pool with or without other pools,Indoor,Public,16855,24 Avenue,,Surrey,BC,V3S 0A2,,,"Olympic-size competition pool, fitness",
,,Grandview Heights Aquatic Centre,https://www.surrey.ca/culture-recreation/14315.aspx,"16855 24 Ave, Surrey, BC V3S 0A2",Aquatics,Leisure / wading pools,Indoor,Public,16855,24 Avenue,,Surrey,BC,V3S 0A2,,,"Olympic-size competition pool, fitness",
,,Grandview Heights Aquatic Centre,https://www.surrey.ca/culture-recreation/14315.aspx,"16855 24 Ave, Surrey, BC V3S 0A2",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,16855,24 Avenue,,Surrey,BC,V3S 0A2,,,"Olympic-size competition pool, fitness",
,,Surrey Sport & Leisure Complex,https://www.surrey.ca/culture-recreation/1888.aspx,"16555 Fraser Hwy, Surrey, BC V4N 0E9",Aquatics,50m+ pool with or without other pools,Indoor,Public,16555,Fraser Highway #100,,Surrey,BC,V4N 0E9,,,"Olympic-sized pool, ice rinks, gym, fitness",
,,Surrey Sport & Leisure Complex,https://www.surrey.ca/culture-recreation/1888.aspx,"16555 Fraser Hwy, Surrey, BC V4N 0E9",Aquatics,Leisure / wading pools,Indoor,Public,16555,Fraser Highway #100,,Surrey,BC,V4N 0E9,,,"Olympic-sized pool, ice rinks, gym, fitness",
,,Surrey Sport & Leisure Complex,https://www.surrey.ca/culture-recreation/1888.aspx,"16555 Fraser Hwy, Surrey, BC V4N 0E9",Ice,2+ surfaces,Indoor,Public,16555,Fraser Highway #100,,Surrey,BC,V4N 0E9,,,"Olympic-sized pool, ice rinks, gym, fitness",
,,Surrey Sport & Leisure Complex,https://www.surrey.ca/culture-recreation/1888.aspx,"16555 Fraser Hwy, Surrey, BC V4N 0E9",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,16555,Fraser Highway #100,,Surrey,BC,V4N 0E9,,,"Olympic-sized pool, ice rinks, gym, fitness",
,,Surrey Sport & Leisure Complex,https://www.surrey.ca/culture-recreation/1888.aspx,"16555 Fraser Hwy, Surrey, BC V4N 0E9",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,16555,Fraser Highway #100,,Surrey,BC,V4N 0E9,,,"Olympic-sized pool, ice rinks, gym, fitness",
,,Guildford Recreation Centre,https://www.surrey.ca/culture-recreation/1876.aspx,"15105 105 Ave, Surrey, BC V3R 7G8",Aquatics,25m pool with or without other pools,Indoor,Public,15105,105 Avenue,,Surrey,BC,V3R 7G8,,,"pool, gym, fitness, indoor track",
,,Guildford Recreation Centre,https://www.surrey.ca/culture-recreation/1876.aspx,"15105 105 Ave, Surrey, BC V3R 7G8",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,15105,105 Avenue,,Surrey,BC,V3R 7G8,,,"pool, gym, fitness, indoor track",
,,Guildford Recreation Centre,https://www.surrey.ca/culture-recreation/1876.aspx,"15105 105 Ave, Surrey, BC V3R 7G8",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,15105,105 Avenue,,Surrey,BC,V3R 7G8,,,"pool, gym, fitness, indoor track",
,,Guildford Recreation Centre,https://www.surrey.ca/culture-recreation/1876.aspx,"15105 105 Ave, Surrey, BC V3R 7G8",Physical Recreation & Sports,Running tracks (track and field),Indoor,Public,15105,105 Avenue,,Surrey,BC,V3R 7G8,,,"pool, gym, fitness, indoor track",
,,Newton Arena,https://www.surrey.ca/culture-recreation/5044.aspx,"7120 136b St, Surrey, BC V3W 8G5",Ice,Single surface,Indoor,Public,7120,136b Street,,Surrey,BC,V3W 8G5,,,,
,,South Surrey Arena,https://www.surrey.ca/culture-recreation/1919.aspx,"2199 148 St, Surrey, BC V4A 8L5",Ice,Single surface,Indoor,Public,2199,148 Street,,Surrey,BC,V4A 8L5,,,Olympic-sized rink,
