CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,
,Winnipeg,Valour Community Centre - Isaac Brock site,http://valourcc.ca/facilities/isaac-brock/,"715 Telfer St N, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Valour Community Centre - Isaac Brock site,http://valourcc.ca/facilities/isaac-brock/,"715 Telfer St N, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,"1188 Dakota St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,"1188 Dakota St, Winnipeg, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,"1188 Dakota St, Winnipeg, MB",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,
,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,"1188 Dakota St, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Dakota Community Centre,https://dakotacc.com/184/ice-rentals,"1188 Dakota St, Winnipeg, MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Kirkfield Westwood Community Centre - McBey Site,http://www.kirkfieldwestwood.com/,"3160 McBey Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Kirkfield Westwood Community Centre - McBey Site,http://www.kirkfieldwestwood.com/,"3160 McBey Ave, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Kirkfield Westwood Community Centre - McBey Site,http://www.kirkfieldwestwood.com/,"3160 McBey Ave, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Wildwood Community Centre,http://wildwoodcc.ca/contact/,"271 North Dr, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Sinclair Park Community Centre,https://www.sinclairparkcc.com/,"490 Sinclair St,Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Sinclair Park Community Centre,https://www.sinclairparkcc.com/,"490 Sinclair St,Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Valour Community Centre - Clifton site,http://valourcc.ca/facilities/clifton/,"1315 Strathcona St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Woodhaven Community Centre,http://woodhavencc.ca/,"200 Glendale Blvd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Woodhaven Community Centre,http://woodhavencc.ca/,"200 Glendale Blvd, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Vince Leah Community Centre,https://www.vinceleahrecreationcentre.com/contact-us.html,"1295 Salter St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,St. Norbert Community Centre,https://www.stnorbertcc.ca/contact-us,"3450 Pembina Hwy, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,St. Norbert Community Centre,https://www.stnorbertcc.ca/contact-us,"3450 Pembina Hwy, Winnipeg, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Winnipeg,St. Norbert Community Centre,https://www.stnorbertcc.ca/contact-us,"3450 Pembina Hwy, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Ralph Brown Community Centre,http://ralphbrowncc.com/rental.html,"460 Andrews St, Winnipeg, MB",Leisure / Community Centres,Youth,Indoor,Public,,,,,,,,,,,
,Winnipeg,Assiniboine West Recreation Association - Morgan Site,https://www.awra.ca/hallrentals,"305 Morgan Cres, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Melrose Park Community Centre,http://melroseparkcc.ca/contact.cfm,"480 Kimberly Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Linden Woods Community Centre,http://www.lindenwoodscc.com/,"414 Lindenwood Dr W, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Linden Woods Community Centre,http://www.lindenwoodscc.com/,"414 Lindenwood Dr W, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Linden Woods Community Centre,http://www.lindenwoodscc.com/,"414 Lindenwood Dr W, Winnipeg, MB",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,
,Winnipeg,Linden Woods Community Centre,http://www.lindenwoodscc.com/,"414 Lindenwood Dr W, Winnipeg, MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Lord Roberts Community Centre,http://lordrobertscc.ca/programs/,"725 Kylemore Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Lord Roberts Community Centre,http://lordrobertscc.ca/programs/,"725 Kylemore Ave, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Lord Roberts Community Centre,http://lordrobertscc.ca/programs/,"725 Kylemore Ave, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Notre Dame Recreation Association,https://www.ndrc.ca/,"271 De La Cathedrale Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Notre Dame Recreation Association,https://www.ndrc.ca/,"271 De La Cathedrale Ave, Winnipeg, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Winnipeg,Notre Dame Recreation Association,https://www.ndrc.ca/,"271 De La Cathedrale Ave, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Notre Dame Recreation Association,https://www.ndrc.ca/,"271 De La Cathedrale Ave, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Gateway Recreation Centre,https://gatewayrec.com/contact-us/,"1717 Gateway Rd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Gateway Recreation Centre,https://gatewayrec.com/contact-us/,"1717 Gateway Rd, Winnipeg, MB",Physical Recreation & Sports,Sport fields,Indoor,Public,,,,,,,,,,,
,Winnipeg,Gateway Recreation Centre,https://gatewayrec.com/contact-us/,"1717 Gateway Rd, Winnipeg, MB",Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,
,Winnipeg,Kirkfield Westwood Community Centre - Sansome Site,https://kirkfieldwestwoodcc.teamsnapsites.com/facilityrental/,"165 Sansome Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Kirkfield Westwood Community Centre - Sansome Site,https://kirkfieldwestwoodcc.teamsnapsites.com/facilityrental/,"165 Sansome Ave, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Kirkfield Westwood Community Centre - Sansome Site,https://kirkfieldwestwoodcc.teamsnapsites.com/facilityrental/,"165 Sansome Ave, Winnipeg, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Winnipeg,Kirkfield Westwood Community Centre - Sansome Site,https://kirkfieldwestwoodcc.teamsnapsites.com/facilityrental/,"165 Sansome Ave, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Earl Grey Community Centre,http://www.earlgreycc.ca/,"360 Cockburn St N, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Earl Grey Community Centre,http://www.earlgreycc.ca/,"360 Cockburn St N, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Earl Grey Community Centre,http://www.earlgreycc.ca/,"360 Cockburn St N, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Bronx Park Community Centre,https://www.bronxpark.ca/content.php?navigation_id=2449,"720 Henderson Hwy, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Bronx Park Community Centre,https://www.bronxpark.ca/content.php?navigation_id=2449,"720 Henderson Hwy, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Winakwa Community Centre,https://winakwacc.ca/services,"980 Winakwa Rd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Winakwa Community Centre,https://winakwacc.ca/services,"980 Winakwa Rd, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Winakwa Community Centre,https://winakwacc.ca/services,"980 Winakwa Rd, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Winakwa Community Centre,https://winakwacc.ca/services,"980 Winakwa Rd, Winnipeg, MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Central Corydon Community Centre - Crescentwood Site,https://corydoncc.com/facilities/crescentwood-facilities/,"980 Winakwa Rd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Waverley Heights Community Centre,https://www.swcc1.ca/facilities/,"1885 Chancellor Dr, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Archwood Community Centre,http://www.archwoodcc.com/hall-rentals.html,"565 Guilbault St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Archwood Community Centre,http://www.archwoodcc.com/hall-rentals.html,"565 Guilbault St, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Richmond Kings Community Centre,https://www.swcc1.ca/family-centre/,"666 Silverstone Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Burton Cummings Community Centre,https://web.winnipeg-chamber.com/COMMUNITY-CENTRES/Burton-Cummings-Community-Centre-1679,"960 Arlington St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Sturgeon Heights Community Centre - Rita Site,http://www.sturgeonheightscc.com/winnipeg-hall-rentals/,"210 Rita St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Riverview Community Centre,https://riverviewcc.ca/facility-rental/,"90 Ashland Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Springfield,Oakbank and District Community Club (OBCC),http://www.oakbankcc.ca/,"1016 Almey Ave, Oakbank, MB ",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Springfield,Oakbank and District Community Club (OBCC),http://www.oakbankcc.ca/,"1016 Almey Ave, Oakbank, MB ",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Springfield,Cooks Creek Community Club,https://www.rmofspringfield.ca/p/springfield-community-clubs,"30 026 Zora Road, Anola, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Springfield,Cooks Creek Community Club,https://www.rmofspringfield.ca/p/springfield-community-clubs,"30 026 Zora Road, Anola, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Springfield,Dugald Community Club,https://www.rmofspringfield.ca/p/springfield-community-clubs,"544 Holland Street, Anola, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Springfield,Hazelridge Sports Complex,https://hazelridgesports.ca/,"26 Memorial Blvd, Hazelridge, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Springfield,Hazelridge Sports Complex,https://hazelridgesports.ca/,"26 Memorial Blvd, Hazelridge, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Springfield,Springfield Curling Club,https://www.rmofspringfield.ca/p/springfield-community-clubs,"672 Dugald Rd, Dugald, MB",Ice,Curling,Indoor,Public,,,,,,,,,,,
,Taché,Lorette Community Complex,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,"1420 Dawson Rd, Lorette, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Taché,Lorette Community Complex,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,"1420 Dawson Rd, Lorette, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Taché,Landmark Recreation Association,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,"191 Robert Koop Rd, Landmark, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Taché,Landmark Recreation Association,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,"191 Robert Koop Rd, Landmark, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Taché,Kinsmen Community Centre,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,"191 Robert Koop Rd, Landmark, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Taché,Ste Genevieve Community Center ,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,"84 Saltel Rd, Ste Genevieve, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Taché,Ross Community Centre,http://rmtache.ca/main.aspx?CategoryCode=7308C02D-61DC-4624-B98F-F11F11C92D1C&pageCode=22F69C43-47EE-41D2-B06C-5348779557B1&subPageCode=854B5FE9-BBA2-401C-AD31-7B8018CCEE46,"51080 PR 501, Ross Municipal Rd 45 E, Richer, MB ",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,St. Clements,Selkitk Community Pool,https://selkirkcommunitypool.weebly.com/about.html,"211 Mercy Street, Selkirk, MB",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,St. Clements,Grand Marais Recreation Centre,https://rmofstclements.com/venue/grand-marais-recreation-centre/,"90 Matilda Ave, Grand Marais, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,St. Clements,Corpus Christi Church Hall,https://rmofstclements.com/fitness-classes/,"5819 Henderson Hwy, Narol, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,St. Clements,East Selkirk Recreation Association,https://www.eastselkirkrec.com/,"1145 Strathcona Road, East Selkirk, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,East St. Paul,East St. Paul Arena and Recreation Complex,"http://www.eaststpaul.com/main.asp?fxoid=FXMenu,4&cat_ID=3&sub_ID=76","266 Hoddinott Rd, East Saint Paul, MB ",Ice,Single surface,Both,Public,,,,,,,,,,,
,East St. Paul,East St. Paul Arena and Recreation Complex,"http://www.eaststpaul.com/main.asp?fxoid=FXMenu,4&cat_ID=3&sub_ID=76","266 Hoddinott Rd, East Saint Paul, MB ",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,East St. Paul,Centennial Plaza,"http://www.eaststpaul.com/main.asp?fxoid=FXMenu,1&cat_ID=3&sub_ID=89&sub2_ID=102","3021 Birds Hill Road, East St. Paul, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,East St. Paul,East St. Paul Curling,https://eaststpaulcurlingclub.net/index.php/our-club/location,"260 Hoddinott Road, East St Paul, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Macdonald,Brunkild Memorial Recreation Centre,"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51","10 305 Pr, Brunkild, MB ",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Macdonald,Macdonald Hockey - Sanford/Brunkild Rep. (Sanford Arena),"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51","174 Mandan Dr, Sanford, MB ",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Macdonald,Domain Arena,"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51","Domain, MB (M0G 0M0)",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Macdonald,Lasalle Curling Club,"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51","80 MB-247, La Salle, MB ",Ice,Single surface,Indoor,Public,,,,,,,,,,,https://arenaguide.ca/city/oak-bluff/
,Macdonald,Oak Bluff Recreation Centre,"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51","101 MacDonald Rd., Oak Bluff, MB ",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Macdonald,Oak Bluff Arena,"https://www.mhrd.ca/pages/community-directory/42/page/brunkild/46,47,48,49,50,51","101 MacDonald Rd., Oak Bluff, MB ",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Ritchot,St. Adolphe Arena & Pioneer Hall,https://www.ritchot.com/p/recreation-centres-arenas-,"345 St. Adolphe Rd., St. Adolphe, MB. ",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Ritchot,St. Adolphe Arena & Pioneer Hall,https://www.ritchot.com/p/recreation-centres-arenas-,"345 St. Adolphe Rd., St. Adolphe, MB. ",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Ritchot,"

St. Adolphe Curling Club",https://www.ritchot.com/p/recreation-centres-arenas-,"327 St. Adolphe Road, St. Adolphe, MB",Ice,Curling,Indoor,Public,,,,,,,,,,,
,Ritchot,TransCanada Centre,https://www.ritchot.com/p/recreation-centres-arenas-,"1 Rivard St., Ile-des-Chênes, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Ritchot,Ile des Chenes Arena,https://www.ritchot.com/p/recreation-centres-arenas-,"630 Rivard St., Ile-des-Chênes, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Ritchot,Ste. Agathe Arena,https://www.ritchot.com/p/recreation-centres-arenas-,"276 Ste. Agathe St., Ste. Agathe, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Ritchot,Ste. Agathe Culture & Community Club,https://www.ritchot.com/p/recreation-centres-arenas-,"304-183 Pembina Trail, Ste. Agathe, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Ritchot,Red River Valley Floods Interpretive Centre ,https://www.ritchot.com/p/recreation-centres-arenas-,"Sir George Etienne Cartier Park, Ste. Agathe, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Ritchot,Howden Community Centre,https://www.ritchot.com/p/recreation-centres-arenas-,"1078 Red River Drive, Howden, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,West St. Paul,West St. Paul Curling Rink,https://weststpaul.com/p/other-recreation,"431 Grassmere Rd., West St.Paul, MB",Ice,Curling,Indoor,Public,,,,,,,,,,,
,West St. Paul,West St. Paul School,https://weststpaul.com/p/other-recreation,"3740 Main Street,Winnipeg,MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,West St. Paul,Sunova Center,https://weststpaul.com/p/sunova-programs,"48 Holland Rd. West St. Paul, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,West St. Paul,Sunova Center,https://weststpaul.com/p/sunova-programs,"48 Holland Rd. West St. Paul, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,West St. Paul,Sunova Center,https://weststpaul.com/p/sunova-programs,"48 Holland Rd. West St. Paul, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,West St. Paul,Sunova Center,https://weststpaul.com/p/sunova-programs,"48 Holland Rd. West St. Paul, MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,Headingley,Headingley Community Centre,http://www.rmofheadingley.ca/p/rental-rates,"48 Holland Rd. West St. Paul, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Headingley,South Hall – Phoenix Recreation Centre,http://www.rmofheadingley.ca/p/rental-rates,"153 Seekings, Headingley, MB  ",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,St. François Xavier,St. Francois Xavier Community Club,http://www.rm-stfrancois.mb.ca/main.aspx?CategoryCode=71C5B41B-2BE9-45BB-BE76-B808B9C1C779&pageCode=7184CC72-6ABF-4FB1-8D3C-F708996C8F9A#.Xi76lyiJK70,"983 MB-26, Saint François Xavier, MB ",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,St. François Xavier,St. Francois Xavier Community Club,http://www.sfxcc.com/programs-1.html,"983 MB-26, Saint François Xavier, MB",Physical Recreation & Sports,Tennis and/or pickleball courts ,Indoor,Public,,,,,,,,,,,
,St. François Xavier,Belcourt Community Club,http://www.rm-stfrancois.mb.ca/main.aspx?CategoryCode=71C5B41B-2BE9-45BB-BE76-B808B9C1C779&pageCode=7184CC72-6ABF-4FB1-8D3C-F708996C8F9A#.Xi79tiiJKUl,"55 Belcourt Rd, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Rosser,Little Mountain Sportsplex,"http://www.rmofrosser.com/main.asp?fxoid=FXMenu,5&cat_ID=4&sub_ID=48","64-128 Klimpke Rd, Rosser, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Rosser,Rosser Community centre,"http://www.rmofrosser.com/main.asp?fxoid=FXMenu,7&cat_ID=4&sub_ID=73","MB-221, Rosser, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Brokenhead 4,Garson Centennial Community Hall,http://rmofbrokenhead.ca/m/garson-centennial-community-hall,"11 Thompson Avenue, Garson, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Brokenhead 4,Tyndall Curling Club,http://rmofbrokenhead.ca/m/tyndall-curling-club,"8 Second Street, Tyndall, MB",Ice,Curling,Indoor,Public,,,,,,,,,,,
,Brokenhead 4,Tyndall Village Community Centre,http://rmofbrokenhead.ca/m/tyndall-village-community-centre,"69 Pierson Drive, Tyndall, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
