CMANAME,CSDNAME,Facility name,URL,Full address,Facility Type,Facility Sub-type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Source description/comment,
,Winnipeg,Oakbank & District Community Club & ONE Insurance Arena,https://springfield.municipalwebsites.ca/ckfinder/connector?command=Proxy&lang=en&type=Files&currentFolder=%2Fdocuments%2Fcommunity_services%2F&hash=c245c263ce0eced480effe66bbede6b4d46c15ae&fileName=2019%20Community%20Services%20Directory.pdf,"1016 Almey Avenue, Oakbank, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Winnipeg,Oakbank & District Community Club & ONE Insurance Arena,https://springfield.municipalwebsites.ca/ckfinder/connector?command=Proxy&lang=en&type=Files&currentFolder=%2Fdocuments%2Fcommunity_services%2F&hash=c245c263ce0eced480effe66bbede6b4d46c15ae&fileName=2019%20Community%20Services%20Directory.pdf,"1016 Almey Avenue, Oakbank, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Maples Community Centre,http://maplescc.ca/contacts.html,"434 Adsum Dr, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Maples Community Centre,http://maplescc.ca/contacts.html,"434 Adsum Dr, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Westdale Community Centre,https://westdale.mb.ca/,"550 Dale Blvd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Fort Garry Community Centre - Victoria Site,http://www.fortgarrycc.ca/home/facilities_programming,"80 Derek St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Fort Garry Community Centre - Victoria Site,http://www.fortgarrycc.ca/home/facilities_programming,"80 Derek St, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Fort Garry Community Centre,http://www.fortgarrycc.ca/home/recreation,"880 Oakenwald Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Chalmers Community Centre,http://www.chalmerscc.ca/,"480 Chalmers Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Robert A. Steen Memorial Community Centre,http://robertasteencc.ca/facility-rental/,"980 Palmerston Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Robert A. Steen Memorial Community Centre,http://robertasteencc.ca/facility-rental/,"980 Palmerston Ave, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Morse Place Community Centre,https://www.google.ca/search?q=Morse+Place+Community+Centre&oq=Morse+Place+Community+Centre&aqs=chrome..69i57.1724j0j4&sourceid=chrome&ie=UTF-8,"700 Munroe Ave, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Varsity View Community Centre,https://varsityview.org/about/,"315 Laxdal Rd, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Varsity View Community Centre,https://varsityview.org/about/,"315 Laxdal Rd, Winnipeg, MB",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Winnipeg,River Osborne Community Centre,https://www.google.ca/search?q=River+Osborne+Community+Centre&oq=River+Osborne+Community+Centre&aqs=chrome..69i57.652j0j4&sourceid=chrome&ie=UTF-8,"101 Pembina Hwy, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,River Osborne Community Centre,https://www.google.ca/search?q=River+Osborne+Community+Centre&oq=River+Osborne+Community+Centre&aqs=chrome..69i57.652j0j4&sourceid=chrome&ie=UTF-8,"101 Pembina Hwy, Winnipeg, MB",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Norwood Community Centre,https://www.norwoodcc.ca/contact-us,"87 Walmer St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Norwood Community Centre,https://www.norwoodcc.ca/contact-us,"87 Walmer St, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Valour Community Centre - Orioles Site,http://valourcc.ca/facilities/orioles/,"448 Burnell Street, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Winnipeg,Valour Community Centre - Orioles Site,http://valourcc.ca/facilities/orioles/,"448 Burnell Street, Winnipeg, MB",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Winnipeg,Central Community Centre,https://www.gcwcc.mb.ca/site/assets/files/3133/central.pdf,"200 Isabel St, Winnipeg, MB",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
