CMANAME,CSDNAME,Facility name,URL,Full Address,Facility Type,Facility Sub-Type,Exposure,Ownership Type,Civic #,Street name,Street Type,Unit/block,City name,Province,Postal Code,Longitude (X),Latitude (Y),Facility Notes/Comments,Address Notes/Comments
,Montréal,Arena Pere Marquette,https://montreal.ca/lieux/arena-pere-marquette,"1605 Rue de Bellechasse, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Saint Donat ,https://montreal.ca/lieux/arena-saint-donat,"6750 Rue de Marseille, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Clement-Jette,https://montreal.ca/lieux/arena-clement-jette,"8780 Avenue Dubuuisson, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Garon,"https://ville.montreal.qc.ca/portal/page?_pageid=8717,97084024&_dad=portal&_schema=PORTAL","11212 Avenue Garon, Montreal-Nord, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Fleury ,"https://ville.montreal.qc.ca/portal/page?_pageid=8717,97084024&_dad=portal&_schema=PORTAL","3700 Rue Fleury E, Montreal-Nord, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Rolland,"http://ville.montreal.qc.ca/portal/page?_pageid=8717,97083929&_dad=portal&_schema=PORTAL","12000 Boulevard Rolland, Montreal-Nord, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Town of Mount Royal Arena,https://www.ville.mont-royal.qc.ca/en/services-residents/recreational-facilities/skating-rinks-and-arena,"1050 Chemin de Dunkirk, Mont-Royal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Town Of Mount Royal Curling Club,http://www.tmrcurlingclub.com/,"5 Avenue Montgomery, Mont-Royal, QC",Ice,Curling,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Martin Brodeur ,http://www1.ville.montreal.qc.ca/banque311/content/saint-l%C3%A9onard-%E2%80%93-ar%C3%A9nas,"5300 Boulevard Robert, Saint-Leonard, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Roberto-Luongo,"http://ville.montreal.qc.ca/portal/page?_pageid=7157,73371822&_dad=portal&_schema=PORTAL","7755 Rue Colbert, Saint-Leonard, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Pierre Pete Morin Arena,https://montreal.ca/en/places/arena-pierre-pete-morin,"1925 Rue Saint-Antoine, Lachine, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Martin Lapointe Arena,https://montreal.ca/en/places/arena-martin-lapointe,"183 Rue des Erables, Lachine, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Raymond-Bourque ,"http://ville.montreal.qc.ca/portal/page?_pageid=7937,86793719&_dad=portal&_schema=PORTAL","2345 Boulevard Thimens, Saint-Laurent, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Saint-Charles,https://montreal.ca/en/places/arena-saint-charles,"1055 Rue d'Hibernia, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Saint-Charles,https://montreal.ca/en/places/arena-saint-charles,"1055 Rue d'Hibernia, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Arenas Sylvio-Mantha et George-Mantha,"http://ville.montreal.qc.ca/portal/page?_pageid=7757,84741599&_dad=portal&_schema=PORTAL","5485 Chemin de la Cote Saint Paul, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Complexe récréatif Gadbois,https://montreal.ca/en/places/complexe-recreatif-gadbois,"5485 Chemin de la Cote Saint Paul, Montreal, QC",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Complexe récréatif Gadbois,https://montreal.ca/en/places/complexe-recreatif-gadbois,"5485 Chemin de la Cote Saint Paul, Montreal, QC",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Jacques-Lemaire,"http://ville.montreal.qc.ca/portal/page?_pageid=8337,92561678&_dad=portal&_schema=PORTAL","8681 Champlain Blvd, Lasalle, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif Dollard-St-Laurent,"http://ville.montreal.qc.ca/portal/page?_pageid=8337,92561678&_dad=portal&_schema=PORTAL","707 75e Avenue, Lasalle, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif Dollard-St-Laurent,"http://ville.montreal.qc.ca/portal/page?_pageid=8337,92561678&_dad=portal&_schema=PORTAL","707 75e Avenue, Lasalle, QC",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Sportif Dollard-St-Laurent,"http://ville.montreal.qc.ca/portal/page?_pageid=8337,92561678&_dad=portal&_schema=PORTAL","707 75e Avenue, Lasalle, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Marcelin-Wilson,"https://ville.montreal.qc.ca/portal/page?_pageid=7957,92635599&_dad=portal&_schema=PORTAL","11301 Boulevard de l'Acadie, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Ahuntsic,"https://ville.montreal.qc.ca/portal/page?_pageid=7957,92635599&_dad=portal&_schema=PORTAL","10560 St Hubert St, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Michel-Normandin ,"https://ville.montreal.qc.ca/portal/page?_pageid=7957,92635599&_dad=portal&_schema=PORTAL","850 Avenue Emilie-Journault, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Sportsplexe Pierrefonds,http://sportplexe.ca/about-us/?lang=en,"14700 Pierrefonds Blvd, Pierrefonds, QC",Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,
,Montréal,Sportsplexe Pierrefonds,http://sportplexe.ca/about-us/?lang=en,"14700 Pierrefonds Blvd, Pierrefonds, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Camillien Houde,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78921590&_dad=portal&_schema=PORTAL#arena_ch","1696 Rue Montcalm, Montreal, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,Arena Bonaventure,https://www.bonaventurehockey.com/,"6605 Chemin de la Cote-de-Liesse+G23, Saint-Laurent, QC",Ice,2+ surfaces,Indoor,Public,,,,,,,,,,,
,Montréal,Verdun Auditorium ,https://en.wikipedia.org/wiki/Verdun_Auditorium,"4110 Boulevard LaSalle, Verdun, QC",Ice,Single surface,Indoor,Public,,,,,,,,,,,
,Montréal,CEGEP Vieux Montreal Pool,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78925591&_dad=portal&_schema=PORTAL","225 Ontario St E, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Quintal ,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78925591&_dad=portal&_schema=PORTAL","1550 Rue Dufresne, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Jean-Claude-Malepart,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78925591&_dad=portal&_schema=PORTAL","2663 Rue Ontario Est, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Jean-Claude-Malépart,https://ccjcm.ca/,"2663 Rue Ontario Est, Montreal, QC",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Jean-Claude-Malépart,https://ccjcm.ca/,"2663 Rue Ontario Est, Montreal, QC",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Montréal,Centre Jean-Claude-Malépart,https://ccjcm.ca/,"2663 Rue Ontario Est, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine de l'Association Sportive et Communautaire du Centre-Sud,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78925591&_dad=portal&_schema=PORTAL","2093 Rue de la Visitation, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine de l'Association Sportive et Communautaire du Centre-Sud,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78925591&_dad=portal&_schema=PORTAL","2093 Rue de la Visitation, Montreal, QC",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Montréal,Association sportive et communautaire du Centre-Sud,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78925591&_dad=portal&_schema=PORTAL","2093 Rue de la Visitation, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Association sportive et communautaire du Centre-Sud,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78925591&_dad=portal&_schema=PORTAL","2093 Rue de la Visitation, Montreal, QC",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
,Montréal,Association sportive et communautaire du Centre-Sud,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78925591&_dad=portal&_schema=PORTAL","2093 Rue de la Visitation, Montreal, QC",Physical Recreation & Sports,"Racquet courts (squash, racquetball, badminton)",Indoor,Public,,,,,,,,,,,
,Montréal,Piscine du Y Centre-Ville,"http://ville.montreal.qc.ca/portal/page?_pageid=7317,78925591&_dad=portal&_schema=PORTAL","1440 Rue Stanley, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Aquadome ,http://inscriptionsaquadome.ca/en/,"1411 Rue Lapierre, LaSalle, QC",Aquatics,50m+ pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Aquadome ,http://inscriptionsaquadome.ca/en/,"1411 Rue Lapierre, LaSalle, QC",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Montréal,Aquadome ,http://inscriptionsaquadome.ca/en/,"1411 Rue Lapierre, LaSalle, QC",Aquatics,Spray parks / splash pads,Indoor,Public,,,,,,,,,,,
,Montréal,Aquadome ,http://inscriptionsaquadome.ca/en/,"1411 Rue Lapierre, LaSalle, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Levesque,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL","955 Marie-Anne St E, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine Schubert,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL","3950 Boulevard Saint-Laurent, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine du Centre du Plateau,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL","2275 Boulevard Saint-Joseph Est, Montreal, QC",Leisure / Community Centres,General,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine du Centre du Plateau,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL","2275 Boulevard Saint-Joseph Est, Montreal, QC",Aquatics,25m pool with or without other pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine du Centre du Plateau,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL","2275 Boulevard Saint-Joseph Est, Montreal, QC",Aquatics,Leisure / wading pools,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine du Centre du Plateau,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL","2275 Boulevard Saint-Joseph Est, Montreal, QC",Physical Recreation & Sports,Gymnasiums ,Indoor,Public,,,,,,,,,,,
,Montréal,Piscine du Centre du Plateau,"http://ville.montreal.qc.ca/portal/page?_pageid=7297,113177576&_dad=portal&_schema=PORTAL","2275 Boulevard Saint-Joseph Est, Montreal, QC",Physical Recreation & Sports,Fitness centres / areas ,Indoor,Public,,,,,,,,,,,
