Facility_ID,Facility_Name,STC Standard Civic Address
1787,WARBURG FIGURE SKATING,"PO BOX 397, WARBURG, AB"
1788,Wabamun Arena,"4820 52 AVE, WABAMUN, AB"
1789,Nicholas Sheran Ice Centre,"401 LAVAL BLVD W, LETHBRIDGE, AB"
1790,Civic Ice Centre,"905 6 AVE S, LETHBRIDGE, AB"
1791,Labor Club Ice Centre,"2020 18 AVE N, LETHBRIDGE, AB"
1792,Logan Boulet Arena,"1302 - 9TH AVENUE NORTH, LETHBRIDGE, AB"
1793,Enmax Centre,"2510 SCENIC DRIVE SOUTH, LETHBRIDGE, AB"
1795,ATB Centre,"74 MAURETANIA ROAD WEST, LETHBRIDGE, AB"
1798,Henderson Ice Centre,"2301 PARKSIDE DR S, LETHBRIDGE, AB"
1799,Fritz Sick Memorial Pool,"420 11 ST S, LETHBRIDGE, AB"
1800,Nicholas Sheran Leisure Centre,"401 LAVAL BLVD W, LETHBRIDGE, AB"
1804,Max Bell Regional Aquatic Centre,"4401 UNIVERSITY DR W, LETHBRIDGE, AB"
1805,Stan Siwik Family Pool,"1901 15 AVE N, LETHBRIDGE, AB"
1808,Cor Van Raay YMCA,"140-74 MAURETANIA RD W, LETHBRIDGE, AB"
1816,Servus Sports Centre,"2501 28 AVE S, LETHBRIDGE, AB"
1817,La Cité des Prairies de Lethbridge,"2104 6 AVE S, LETHBRIDGE, AB"
1818,Casa,"230 8 ST S, LETHBRIDGE, AB"
1820,Eagles Hall,"631 13 ST N, LETHBRIDGE, AB"
1821,Youth One,"1303 13 ST N, LETHBRIDGE, AB"
1822,Wear 'M' Out Inc,"4005 7 AVE S, LETHBRIDGE, AB"
1823,Family Centre Downtown,"225-200 4 AVENUE SOUTH, LETHBRIDGE, AB"
1825,Lethbridge City Hall,"910 4 AVE S, LETHBRIDGE, AB"
1826,Lethbridge Fitness Club,"1007 3 AVE N, LETHBRIDGE, AB"
1827,McNally Community Center,"TOWNSHIP RD 82, LETHBRIDGE COUNTY, AB"
1828,Coaldale Curling Rink,"2007 13TH ST, COALDALE, AB"
1829,Coaldale Sportsplex,"1213 20TH AVE, COALDALE, AB"
1830,Coaldale Community Centre,"1217 20TH AVE, COALDALE, AB"
1831,Coalhurst & District Community Centre,"527 50 AVE, COALHURST, AB, COALHURST, AB"
1832,Community / Seniors Centre,"607 HIGHWAY AVENUE NORTH, PICTURE BUTTE, AB"
1833,Nobleford Community Complex,"122 KIPP ST, NOBLEFORD, AB"
1834,Community Hall,"209 NOBLE ST, BARONS, AB"
1835,Sandra Schmirler Leisure Centre,"3130 EAST WOODHAMS DRIVE, REGINA, SK"
1837,Sportplex - Fieldhouse & Lawson Aquatic Centre,"1717 ELPHINSTONE STREET, REGINA, SK"
1841,North West Leisure Centre,"1127 ARNASON STREET, REGINA, SK"
1843,Doug Wickenheiser Arena,"1127 ARNASON STREET, REGINA, SK"
1844,Al Ritchie Arena,"2230 LINDSAY ST, REGINA, SK"
1845,Clarence Mahon Arena,"130 BROTHERTON AVE, REGINA, SK"
1846,Jack Hamilton Arena,"1010 MCCARTHY BLVD, REGINA, SK"
1847,Jack Staples Arena,"444 N BROAD ST, REGINA, SK"
1848,Murray Balfour Arena,"68 MASSEY RD, REGINA, SK"
1850,Wheat City Kinsmen Arena - Parent & Tot Skate,"560 ELPHINSTONE ST, REGINA, SK"
1851,Arcola East Community Centre,"3860 BUCKINGHAM DRIVE EAST, REGINA, SK"
1854,Argyle Park Community Centre,"35 DAVIN CRESCENT, REGINA, SK"
1856,Cathedral Neighbourhood Centre,"2900 13TH AVENUE, REGINA, SK"
1857,Core Ritchie Neighbourhood Centre,"445 - 14TH AVENUE, REGINA, SK"
1858,Eastview Community Centre,"615 6TH AVENUE, REGINA, SK"
1860,Glencairn Neighbourhood Centre,"2626 DEWDNEY AVENUE EAST, REGINA, SK"
1862,Mâmawêyatitân Centre ,"3355 6TH AVENUE, REGINA, SK"
1864,North East Community Centre,"160 BROAD ST, REGINA, S, REGINA, SK"
1866,South Leisure Centre,"170 SUNSET DRIVE, REGINA, SK"
1870,Uplands Community Centre,"40 WEEKES CRESCENT, REGINA, SK"
1871,Communiskate,"201 GREAT PLAINS ROAD, EMERALD PARK, SK"
1872,Balgonie Stardome,"HW 364 & S RAILWAY ST, BALGONIE, SK"
1873,Balgonie curling Rink,"114 KING ST, BALGONIE, SK"
1874,Pilot Butte Rink,"222 DIAMOND PL, PILOT BUTTE, SK"
1875,Edenwold Memorial Rink,"124 2ND AVE, EDENWOLD, SK"
1876,White City Community Centre,"12 RAMM AVE, PILOT BUTTE, SK"
1880,Lumsden High School Gym,"300 BROAD ST, LUMSDEN, SK"
1881,Centennial Hall,"40 3 AVE, LUMSDEN, SK"
1884,Lumsden Curling Rink,"70 3RD AVENUE, LUMSDEN, SK"
1885,Lumsden Rink,"60 3 AVENUE, LUMSDEN, SK"
1887,Balgonie Senior Citizens 50+ Centre,"132 QUEEN STREET, BALGONIE, SK"
1888,Regina Beach Memorial Hall,"101 CENTRE ST, REGINA BEACH, SK"
1889,South Shore Recreation Centre,"218 CENTRE ST, REGINA BEACH, SK"
1891,Buena Vista School Rink,"1306 LORNE AVE, SASKATOON, SK"
1892,Pense Memorial Rink,"335 MANITOBA STREET, PENSE, SK"
1894,Edenwold Community Hall,"204 BREWER ST, EDENWOLD, SK"
1895,ACT Arena,"107 105TH ST, SASKATOON, SK"
1896,Archibald Arena,"1410 WINDSOR ST, SASKATOON, SK"
1897,Cosmo Civic Centre,"3130 LAURIER DR, SASKATOON, SK"
1902,Lions Arena,"2205 MCEOWN AVE, SASKATOON, SK"
1903,Gordie Howe Kinsmen Sports Complex,"1405 AVENUE P SOUTH, SASKATOON, SK"
1904,Gordie Howe Kinsmen Arena,"1405 AVENUE P SOUTH, SASKATOON, SK"
1906,Harry Bailey Aquatic Centre,"1110 IDYLWYLD DR N, SASKATOON, SK"
1910,Lakewood Civic Centre,"1635 MCKERCHER DR, SASKATOON, SK"
1914,Lakeview Youth Centre,"1635 MCKERCHER DR, SASKATOON, SK"
1915,Lawson Civic Centre,"225 PRIMROSE DR, SASKATOON, SK"
1919,Saskatoon Field House,"2020 COLLEGE DR, SASKATOON, SK"
1923,Shaw Centre,"122 BOWLT CRES, SASKATOON, SK"
1929,Terry Fox Track ,"150 NELSON RD, SASKATOON, SK"
1930,Confederation Park School - Youth Centre,"3555 JOHN A MACDONALD RD, SASKATOON, SK"
1931,Dundonald Youth Centre,"202 SUMNER CRES, SASKATOON, SK"
1932,Eastview Youth Centre,"3035 ARLINGTON AVE, SASKATOON, SK"
1933,Forest Grove Youth Centre,"302 KELLOUGH RD, SASKATOON, SK"
1934,Silverwood Youth Centre,"274 RUSSELL RD, SASKATOON, SK"
1935,Pleasant Hill Youth Centre,"327 AVENUE N SOUTH, SASKATOON, SK"
1936,Holiday Park Youth Centre,"1205 AVENUE N SOUTH, SASKATOON, SK"
1937,Westmount Youth Centre,"411 AVENUE J NORTH, SASKATOON, SK"
1938,Nutana Youth Centre,"610 CLARENCE AVE S, SASKATOON, SK"
1939,Albert Community Centre,"610 CLARENCE AVE S, SASKATOON, SK"
1941,Agriplace Ice Sports,"205 APEX ST, SASKATOON, SK"
1942,Schroh Arena,"LORNE AVE S, SASKATOON, SK"
1944,Rodd Hamm Memorial / Harold Latrace Arena,"1347 FLETCHER RD, SASKATOON, SK"
1945,Granite Curling Club,"480 1ST AVE N, SASKATOON, SK"
1946,Nutana Curling Club,"2002 ARLINGTON AVE, SASKATOON, SK"
1947,Sutherland Curling Club,"141 JESSOP AVE, SASKATOON, SK"
1948,CN Curling Club,"1602 CHAPPELL DR, SASKATOON, SK"
1949,Saskatoon Community Service Village,"101 - 506 25TH ST E, SASKATOON, SK"
1950,Federation des Francophones de Saskatoon,"211-308 4TH AVE N, SASKATOON, SK"
1951,OUT Saskatoon,"213 AVENUE C S, SASKSATOON, SK"
1952,Cosmopolitan Senior Citizens Centre,"614 11TH ST E, SASKATOON, SK"
1953,Rosewood Community Association,"147 OLSON LN W, SASKATOON, SK"
1955,Briarwood Community Centre Building,"602 BRIARWOOD RD, SASKATOON, SK"
1956,Station 20 West ,"1120 20TH ST W, SASKATOON, SK"
1957,St. George's Senior Citizens' Centre,"1235 20TH ST W, SASKATOON, SK"
1958,Sutherland Hall,"1112 CENTRAL AVE, SASKATOON, SK"
1959,Fairfield Seniors Centre,"103 FAIRMONT CT, SASKATOON, SK"
1960,YWCA Saskatoon,"510 25 ST E, SASKATOON, SK"
1965,YMCA Saskatoon,"25 22 ST E, SASKATOON, SK"
1969,SaskTel Sports Centre,"150 NELSON RD, SASKATOON, SK"
1973,Lakewood Indoor Tennis Centre,"1635 MCKERCHER DR, SASKATOON, SK"
1974,Brian King Centre,"202 8TH AVE N, WARMAN, SK"
1975,The Legends Centre,"701 CENTENNIAL BLVD, WARMAN, SK"
1978,The Warman Diamond Rodeo Arena,"2 PACIFIC AVE, WARMAN, SK"
1979,Martensville Curling Club,"555 MAIN ST, SASKATOON, SK"
1980,Martensville Civic Centre,"66 MAIN ST, MARTENSVILLE, SK"
1981,Heritage Centre,"415 6THE AVE S, MARTENSVILLE, SK"
1982,Martensville Athletic Pavilion,"200 MIKE SANDS BLVD, MARTENSVILLE, SK"
1988,North Ridge Centennial Community Centre,"901 3RD ST N, MARTENSVILLE, SK"
1989,Martensville Sports Centre,"555 MAIN ST, MARTENSVILLE, SK"
1991,Bergheim Recreation Centre,"BETTKER RD, CORMAN PARK NO. 344, SK"
1992,Floral Community Centre,"CORMAN PARK NO. 344, SK"
1993,Henrietta Community Hall,"CORMAN PARK NO. 344, SK"
1994,Merrill Hills Community Centre,"CORMAN PARK NO. 344, SK"
1995,Neuhorst Community Centre,"CORMAN PARK NO. 344, SK"
1996,South Corman Park School Log Cabin,"PTN NE 22-35-5-W3, SASKATOON, SK"
1999,Dalmeny Arena,"215 RAILWAY AVE, DALMENY, SK"
2001,J. J. Loewen Community Centre,"206 RAILWAY AVE, DALMENY, SK"
2002,Langham Curling Club,"115 MAIN ST E LANGHAM, SK"
2004,Affinity Community Hall,"120 RAILWAY STREET, LANGHAM, SK"
2005,Aberdeen Rec Complex,"225 E CENTRAL ST, ABERDEEN, SK"
2009,Aberdeen Community Hall,"202 2 AVE, ABERDEEN, SK"
2010,Osler Community Hall,"508 1ST ST, OSLER, SK"
2011,The Gathering Place,"211 2ND AVE, OSLER, SK"
2012,Delisle Centennial Arena,"300 3RD AVE W, DELISLE, SK"
2014,Allan & District Communiplex,"PRINCESS ST, ALLAN SK"
2017,Asquith Sports Centre,"LUNN ST, ASQUITH, SK"
2018,Dundurn Sports Arena,"211 3RD ST, DUNDURN, SK"
2019,Dundurn Community Hall,"214 3RD ST, DUNDURN, SK"
2020,Colonsay Community Hall,"109 TORRAN STREET, COLONSAY, SK"
2021,Colonsay & District Sports Centre,"200 ROSHER ST, COLONSAY, SK"
2022,Shields Community Centre,"8 PROCTER DRIVE, SHIELDS, SK"
2023,Clavet Community Arena,"2 2ND AVE, CLAVET, SK"
2024,Bonivital,"1215 ARCHIBALD STREET, WINNIPEG, MB"
2026,Cindy Klassen Recreation Complex,"999 SARGENT AVENUE, WINNIPEG, MB"
2031,Eldon Ross,"1887 PACIFIC AVENUE WEST, WINNIPEG, MB"
2033,Elmwood Kildonans ,"909 CONCORDIA AVENUE, WINNIPEG, MB"
2034,Elmwood Kildonans,"909 CONCORDIA AVENUE, WINNIPEG, MB"
2035,Kinsmen Sherbrook (formerly Sherbrook Pool),"381 SHERBROOK STREET, WINNIPEG, MB"
2037,Margaret Grant,"685 DALHOUSIE DRIVE, WINNIPEG, MB"
2038,Pan Am,"25 POSEIDON BAY, WINNIPEG, MB"
2042,Seven Oaks,"444 ADSUM DRIVE, WINNIPEG, MB"
2043,Sergeant Tommy Prince Place,"90 SINCLAIR STREET, WINNIPEG, MB"
2046,St. James Assiniboia Centennial,"644 PARKDALE STREET, WINNIPEG, MB"
2051,St. James Civic Centre,"2055 NESS AVENUE, WINNIPEG, MB"
2053,Transcona Kinsmen Centennial,"1101 WABASHA STREET, WINNIPEG, MB"
2055,Bourkevale Lawn Bowling,"90 FERRY ROAD, WINNIPEG, MB"
2056,Deer Lodge Tennis Club,"2050 NESS AVENUE, WINNIPEG, MB"
2057,Sam Southern Arena,"625 OSBORNE STREET, WINNIPEG, MB"
2058,Fort Rouge Leisure Centre,"625 OSBORNE STREET, WINNIPEG, MB"
2060,Freight House Recreation and Leisure Centre,"1-200 ISABEL STREET, WINNIPEG, MB"
2062,Magnus Eliason Recreation Centre,"430 LANGSIDE STREET, WINNIPEG, MB"
2064,Mayfair Recreation Centre,"40 MAYFAIR PLACE, WINNIPEG, MB"
2067,Peguis Trail Health & Fitness Centre,"1400 ROTHESAY STREET, WINNIPEG, MB"
2072,St. John's Leisure Centre,"601 AIKINS STREET, WINNIPEG, MB"
2073,Turtle Island Neighbourhood Centre,"510 KING STREET, WINNIPEG, MB"
2075,Bertrand Arena,"294 BERTRAND ST., WINNIPEG, MB"
2076,Billy Mosienko Arena,"709 KEEWATIN ST, WINNIPEG, MB"
2077,Century Arena,"1377 CLARENCE AVE., WINNIPEG, MB"
2078,Charles A. Barbour Arena,"500 NATHANIEL ST., WINNIPEG, MB"
2079,Charlie Gardiner Arena  (formerly Pioneer),"799 LOGAN AVE, WINNIPEG, MB"
2080,Eric Coy Arena,"535 OAKDALE DR., WINNIPEG, MB"
2081,Maginot Arena,"910 MAGINOT ST., WINNIPEG, MB"
2082,River East Arena,"1410 ROTHESAY ST., WINNIPEG, MB"
2083,Sargent Park Arena,"1111 WALL ST., WINNIPEG, MB"
2084,St. James Civic Centre Arena,"2055 NESS AVENUE, WINNIPEG, MB"
2085,St. Vital Centennial Arena,"580 ST. ANNE'S ROAD, WINNIPEG, MB"
2086,Terry Sawchuk Arena,"901 KIMBERLY AVE, WINNIPEG, MB"
2087,Oakbank & District Community Club & ONE Insurance Arena,"1016 ALMEY AVENUE, OAKBANK, WINNIPEG, MB"
2089,Maples Community Centre,"434 ADSUM DR, WINNIPEG, MB"
2091,Westdale Community Centre,"550 DALE BLVD, WINNIPEG, MB"
2092,Fort Garry Community Centre - Victoria Site,"80 DEREK ST, WINNIPEG, MB"
2094,Fort Garry Community Centre,"880 OAKENWALD AVE, WINNIPEG, MB"
2095,Chalmers Community Centre,"480 CHALMERS AVE, WINNIPEG, MB"
2096,Robert A. Steen Memorial Community Centre,"980 PALMERSTON AVE, WINNIPEG, MB"
2098,Morse Place Community Centre,"700 MUNROE AVE, WINNIPEG, MB"
2099,Varsity View Community Centre,"315 LAXDAL RD, WINNIPEG, MB"
2101,River Osborne Community Centre,"101 PEMBINA HWY, WINNIPEG, MB"
2103,Norwood Community Centre,"87 WALMER ST, WINNIPEG, MB"
2105,Valour Community Centre - Orioles Site,"448 BURNELL STREET, WINNIPEG, MB"
2107,Central Community Centre,"200 ISABEL ST, WINNIPEG, MB"
2109,Deer Lodge Community Centre,"323 BRUCE AVE EAST, WINNIPEG, MB"
2110,Norberry-Glenlee Community Centre - Glenlee site,"176 WORTHINGTON AVE, WINNIPEG, MB"
2113,East End Community Centre,"517 PANDORA AVE E, WINNIPEG, MB"
2117,North Kildonan Community Centre,"1144 KINGSFORD PL, WINNIPEG, MB"
2121,Champlain Community Centre,"282 NIVERVILLE AVE, WINNIPEG, MB"
2124,Tuxedo Community Centre,"368 SOUTHPORT BLVD, WINNIPEG, MB"
2127,Westridge Community Centre - Whyte Ridge Site,"170 FLEETWOOD RD, WINNIPEG, MB"
2129,East Elmwood Community Centre,"490 KEENLEYSIDE STREET, WINNIPEG, MB"
2132,South Transcona Community Centre,"124 BORDEN AVE, WINNIPEG, MB"
2134,Oxford Heights Community Centre,"359 DOWLING AVE E, WINNIPEG, MB"
2137,Red River Community Centre,"293 MURRAY AVE, WINNIPEG, MB"
2139,Varsity View Community Centre - Sportsplex,"4230 RIDGEWOOD AVE, WINNIPEG, MB"
2141,Tyndall Park Community Centre,"2255 KING EDWARD ST, WINNIPEG, MB"
2143,Roblin Park Community Centre,"640 PEPPERLOAF CRES, WINNIPEG, MB"
2144,Garden City Community Centre,"725 KINGSBURY AVE, WINNIPEG, MB"
2149,Bourkevale Community Centre,"100 FERRY RD, WINNIPEG, MB"
2150,Bord-Aire Community Centre,"471 HAMPTON ST, WINNIPEG, MB"
2151,Greendell Community Centre,"75 WOODLAWN AVE, WINNIPEG,MB"
2156,Windsor Community Centre,"99 SPRINGSIDE DR, WINNIPEG, MB"
2160,Maples Community Centre - James Nisbett site,"70 DOUBLEDAY DR, WINNIPEG, MB"
2164,Sir John Franklin Community Centre,"1 SIR JOHN FRANKLIN RD, WINNIPEG, MB"
2165,Westridge Community Centre,"3 MARSHALL CRES, WINNIPEG, MB"
2166,Luxton Community Centre,"210 ST CROSS ST, WINNIPEG, MB"
2167,Central Corydon CC- River Heights site,"1370 GROSVENOR AVE, WINNIPEG, MB"
2169,Park City West Community Centre,"115 SANFORD FLEMING RD, WINNIPEG, MB"
2171,Valley Gardens Community Centre,"218 ANTRIM RD, WINNIPEG, MB"
2172,Northwood Community Centre,"1415 BURROWS AVE, WINNIPEG, MB"
2174,Weston Community Centre,"1625 LOGAN AVE, WINNIPEG, MB"
2176,Norquay Community Centre,"65 GRANVILLE ST, WINNIPEG, MB"
2177,Southdale Community Centre,"254 LAKEWOOD BLVD, WINNIPEG, MB"
2179,Valour Community Centre - Isaac Brock site,"715 TELFER ST N, WINNIPEG, MB"
2182,Dakota Community Centre,"1188 DAKOTA ST, WINNIPEG, MB"
2187,Kirkfield Westwood Community Centre - McBey Site,"3160 MCBEY AVE, WINNIPEG, MB"
2191,Sinclair Park Community Centre,"490 SINCLAIR ST,WINNIPEG, MB"
2193,Valour Community Centre - Clifton site,"1315 STRATHCONA ST, WINNIPEG, MB"
2194,Woodhaven Community Centre,"200 GLENDALE BLVD, WINNIPEG, MB"
2196,Vince Leah Community Centre,"1295 SALTER ST, WINNIPEG, MB"
2197,St. Norbert Community Centre,"3450 PEMBINA HWY, WINNIPEG, MB"
2200,Ralph Brown Community Centre,"460 ANDREWS ST, WINNIPEG, MB"
2201,Assiniboine West Recreation Association - Morgan Site,"305 MORGAN CRES, WINNIPEG, MB"
2202,Melrose Park Community Centre,"480 KIMBERLY AVE, WINNIPEG, MB"
2203,Linden Woods Community Centre,"414 LINDENWOOD DR W, WINNIPEG, MB"
2207,Lord Roberts Community Centre,"725 KYLEMORE AVE, WINNIPEG, MB"
2210,Notre Dame Recreation Association,"271 DE LA CATHEDRALE AVE, WINNIPEG, MB"
2214,Gateway Recreation Centre,"1717 GATEWAY RD, WINNIPEG, MB"
2217,Kirkfield Westwood Community Centre - Sansome Site,"165 SANSOME AVE, WINNIPEG, MB"
2221,Earl Grey Community Centre,"360 COCKBURN ST N, WINNIPEG, MB"
2224,Bronx Park Community Centre,"720 HENDERSON HWY, WINNIPEG, MB"
2226,Winakwa Community Centre,"980 WINAKWA RD, WINNIPEG, MB"
2230,Central Corydon Community Centre - Crescentwood Site,"1170 CORYDON AVE, WINNIPEG, MB"
2231,Waverley Heights Community Centre,"1885 CHANCELLOR DR, WINNIPEG, MB"
2232,Archwood Community Centre,"565 GUILBAULT ST, WINNIPEG, MB"
2234,Richmond Kings Community Centre,"666 SILVERSTONE AVE, WINNIPEG, MB"
2235,Burton Cummings Community Centre,"960 ARLINGTON ST, WINNIPEG, MB"
2236,Sturgeon Heights Community Centre - Rita Site,"210 RITA ST, WINNIPEG, MB"
2237,Riverview Community Centre,"90 ASHLAND AVE, WINNIPEG, MB"
2238,Oakbank and District Community Club (OBCC),"1016 ALMEY AVE, OAKBANK, MB"
2240,Cooks Creek Community Club,"30 026 ZORA ROAD, ANOLA, MB"
2242,Dugald Community Club,"544 HOLLAND STREET, ANOLA, MB"
2243,Hazelridge Sports Complex,"26 MEMORIAL BLVD, HAZELRIDGE, MB"
2245,Springfield Curling Club,"672 DUGALD RD, DUGALD, MB"
2246,Lorette Community Complex,"1420 DAWSON RD, LORETTE,"
2248,Landmark Recreation Association,"191 ROBERT KOOP RD, LANDMARK, MB"
2250,Kinsmen Community Center,"191 ROBERT KOOP RD, LANDMARK, MB"
2251,Ste Genevieve Community Center ,"84 SALTEL RD, STE GENEVIEVE, MB"
2252,Ross Community Centre,"51080 PR 501, ROSS MUNICIPAL RD 45 E, RICHER, MB"
2253,Selkitk Community Pool,"211 MERCY STREET, SELKIRK, MB"
2254,Grand Marais Recreation Centre,"90 MATILDA AVE, GRAND MARAIS, MB"
2255,Corpus Christi Church Hall,"5819 HENDERSON HWY, NAROL, MB"
2256,East Selkirk Recreation Association,"1145 STRATHCONA ROAD, EAST SELKIRK, MB"
2257,East St. Paul Arena and Recreation Complex,"266 HODDINOTT RD, EAST SAINT PAUL, MB"
2259,Centennial Plaza,"3021 BIRDS HILL ROAD, EAST ST. PAUL, MB"
2260,East St. Paul Curling,"260 HODDINOTT ROAD, EAST ST PAUL, MB"
2261,Brunkild Memorial Recreation Centre,"10 305 PR, BRUNKILD, MB"
2262,Macdonald Hockey - Sanford/Brunkild Rep. (Sanford Arena),"174 MANDAN DR, SANFORD, MB"
2263,Domain Arena,"6 MACDONALD RD, DOMAIN, MB"
2264,Lasalle Curling Club,"80 MB-247, LA SALLE, MB"
2265,Oak Bluff Recreation Centre,"101 MACDONALD RD, OAK BLUFF, MB"
2266,Oak Bluff Arena,"101 MACDONALD RD, OAK BLUFF, MB"
2267,St. Adolphe Arena & Pioneer Hall,"345 ST. ADOLPHE RD, ST. ADOLPHE, MB."
2269,St. Adolphe Curling Club,"327 ST. ADOLPHE RD, ST. ADOLPHE, MB"
2270,TransCanada Centre,"1 RIVARD ST., ILE-DES-CHENES, MB"
2271,Ile des Chenes Arena,"630 RIVARD ST., ILE-DES-CHENES, MB"
2272,Ste. Agathe Arena,"276 STE. AGATHE ST., STE. AGATHE, MB"
2273,Ste. Agathe Culture & Community Club,"304-183 PEMBINA TRAIL, STE. AGATHE, MB"
2274,Red River Valley Floods Interpretive Centre ,"SIR GEORGE ETIENNE CARTIER PARK, STE. AGATHE, MB"
2275,Howden Community Centre,"1078 RED RIVER DRIVE, HOWDEN, MB"
2276,West St. Paul Curling Rink,"431 GRASSMERE RD., WEST ST.PAUL, MB"
2277,West St. Paul School,"3740 MAIN STREET, WINNIPEG, MB"
2278,Sunova Center,"48 HOLLAND RD. WEST ST. PAUL, MB"
2282,Headingley Community Centre,"5353 PORTAGE AVE, HEADINGLEY, MB"
2283,South Hall – Phoenix Recreation Centre,"153 SEEKINGS, HEADINGLEY, MB"
2284,St. Francois Xavier Community Club,"983 MB-26, SAINT FRANCOIS XAVIER, MB"
2286,Belcourt Community Club,"55 BELCOURT RD, SAINT FRANCOIS XAVIER, MB"
2287,Little Mountain Sportsplex,"64-128 KLIMPKE RD, ROSSER, MB"
2288,Rosser Community centre,"038E MB-221, ROSSER, MB"
2289,Garson Centennial Community Hall,"11 THOMPSON AVENUE, GARSON MANITOBA, MB"
2290,Tyndall Curling Club,"8 SECOND STREET, TYNDALL, MANITOBA, MB"
2291,Tyndall Village Community Centre,"69 PIERSON DRIVE, TYNDALL MANITOBA, MB"
2292,Allandale Recreation Centre,"190 BAYVIEW DRIVE, BARRIE, ON"
2298,Barrie Athletic Club,"565 BRYNE DR, BARRIE, ON"
2301,Barrie Curling Club,"175 ESSA ROAD, BARRIE, ON"
2303,Barrie North Winter Tennis,"41A SPENCE AVE., BARRIE, ON"
2304,Barrie Sports Dome,"99 HANMER ST. E., BARRIE, ON"
2306,Dorian Parker Community Centre,"227 SUNNIDALE ROAD, BARRIE, ON"
2307,East Bayfield Community Centre,"80 LIVINGSTONE STREET EAST, BARRIE, ON"
2314,Eastview Arena,"453 GROVE ST. E. , BARRIE, ON"
2316,Georgian College Athletic & Fitness Centre,"1 GEORGIAN DR, BARRIE, ON"
2321,Holly Community Centre,"171 MAPLETON AVENUE, BARRIE, ON"
2329,Lampman Lane Community Centre,"59 LAMPMAN LANE, BARRIE, ON"
2331,Parkview Community Centre,"189 BLAKE STREET, BARRIE, ON"
2332,Sadlon Arena,"555 BAYVIEW DR, BARRIE, ON"
2333,Southshore Community Centre,"205 LAKESHORE DRIVE, BARRIE, ON"
2334,Alcona Glen Elementary School,"1310 INNISFIL BEACH ROAD, INNISFIL, ON"
2335,Churchill Community Centre,"6322 YONGE STREET, INNISFIL, ON"
2336,Innisfil Recreational Complex YMCA,"7315 YONGE STREET, INNISFIL, ON"
2343,Innisfil Soccer Club,"1000 INNISFIL BEACH ROAD, INNISFIL, ON"
2344,Innisfil Town Hall,"2101 INNISFIL BEACH ROAD, INNISFIL, ON"
2345,Knock Community Hall,"7756 10TH SIDEROAD, INNISFIL, ON"
2346,South Innisfil C.C. (Lefroy),"1354 KILLARNEY BEACH. RD., INNISFIL, ON"
2349,South Simcoe Ball Hockey Leagues,"1145 INNISFIL BEACH RD, INNISFIL, ON"
2350,Stroud Innisfil C.C.,"7883 YONGE ST, INNISFIL, ON"
2353,Anten Mills Community Centre,"3985 HORSESHOE VALLEY RD W, SPRINGWATER, ON"
2354,Elmvale Community Arena,"14 GEORGE ST, SPRINGWATER, ON"
2358,Elmvale Community Hall,"33 QUEEN ST W, SPRINGWATER, ON"
2359,Grenfel Community Centre,"1989 SUNNIDALE ROAD, SPRINGWATER, ON"
2360,Heritage Park (Elmvale),"116 QUEEN STREET, ELMVALE, ON"
2361,Hillsdale Community Centre,"4517 PENETANGUISHENE RD, SPRINGWATER, ON"
2362,Midhurst Community Centre,"74 DORAN ROAD, SPRINGWATER, ON"
2363,Minesing Community Centre,"2347 RONALD RD, SPRINGWATER, ON"
2365,Belleville YMCA,"433 VICTORIA AVENUE, BELLEVILLE, ON"
2373,Dr. McMullen Recreation Centre,"9 MARCH ST, QUINTE WEST, ON"
2375,Duncan McDonald Memorial Community Gardens,"8 COUCH CRESCENT, QUINTE WEST, ON"
2377,Foster Ward Community Centre,"75 ST PAUL ST, BELLEVILLE, ON"
2378,Gerry Masterson Community Centre,"516 HARMONY RD, BELLEVILLE, ON"
2380,Loyalist Sports Dome,"284 WALLBRIDGE LOYALIST RD, BELLEVILLE, ON"
2384,Memorial Arena,"15 MARKET SQ, BELLEVILLE, ON"
2386,Quinte Curling Club,"246 BRIDGE ST W, BELLEVILLE, ON"
2387,Quinte Sports and Wellness Centre,"265 CANNIFTON ROAD, BELLEVILLE, ON"
2396,Quinte West YMCA,"50 MONOGRAM PLACE, QUINTE WEST, ON"
2403,RecPlex,"21 NAMAO DR, QUINTE WEST, ON"
2404,Rhino Sports and Playland,"7-199 BELL BLVD, BELLEVILLE, ON"
2406,Stirling Curling Club,"433 W FRONT ST, STIRLING-RAWDON, ON"
2407,Stirling-Rawdon Arena,"435 WEST FRONT ST. , STIRLING-RAWDON, ON"
2408,Township of Tyendinaga Recreation Hall,"363 MCFARLANE ROAD RR 1, TYENDINAGA, ON"
2409,Trenton Curling Club,"293 KING ST, QUINTE WEST, ON"
2410,60 Club Seniors,"19 QUINTE ST, TRE, QUINTE WEST, ON"
2411,Access Storage Sports Centre,"101 WAYNE GRETZKY PKWY, BRANTFORD, ON"
2415,Beckett Adult Leisure Centre,"219 COLBORNE ST, BRANTFORD, ON"
2417,Bellview Community Centre,"55 TOM ST, BRANTFORD, ON"
2418,Bethel Community Hall,"154 BET, BRANTFORD, ON"
2419,Branlyn Community Centre,"238 BRANTWOOD PARK RD, BRANTFORD, ON"
2425,Brant Curling Club Inc,"34 MORRELL ST, BRANTFORD, ON"
2426,Brantford and District Civic Centre,"79 MARKET STREET SOUTH, BRANTFORD, ON"
2428,Brantford Convention Centre,"100 MARKET ST S, BRANTFORD, ON"
